Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_24MWT_M_R,Shrubland,462,154,111,94,136,216,214,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MWT_M_R,Non_Wetland,0,0,0,0,0,0,26,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MWT_M_R,Grassland,0,217,35,32,83,242,274,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MWT_M_R,Bareland,291,89,0,54,37,58,51,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MWT_M_R,Built-up,356,171,126,0,28,195,21,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MWT_M_R,Water,1624,299,209,58,0,741,848,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MWT_M_R,Forest,916,224,36,40,221,0,427,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MWT_M_R,Cropland,686,0,167,120,96,268,227,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MWT_M_R,Non_Water,5,1,0,0,5,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MWT_M_R,Wetland,920,251,39,16,317,374,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MWT_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWT_M_R,Non_Wetland,8,0,0,0,1,0,0,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWT_M_R,Shrubland,134,0,31,37,96,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWT_M_R,Grassland,0,0,18,68,150,83,0,533,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWT_M_R,Cropland,802,0,138,286,161,40,0,713,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWT_M_R,Bareland,185,0,0,64,174,5,0,161,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWT_M_R,Built-up,202,0,47,0,92,5,0,231,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWT_M_R,Water,704,0,31,72,0,232,0,1427,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWT_M_R,Forest,569,0,61,127,270,0,0,1422,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWT_M_R,Non_Water,4,0,0,0,8,0,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWT_M_R,Wetland,424,0,4,9,523,244,0,1212,0,0,0
