Dataset,MajorityClass,Grassland,Wetland,Shrubland,Bareland,Built-up,Water,Forest,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MRT_M_R,Non_Wetland,3,6,6,6,4,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MRT_M_R,Shrubland,12,16,0,35,15,19,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MRT_M_R,Grassland,0,97,127,147,40,86,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MRT_M_R,Wetland,117,0,315,675,57,910,159,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MRT_M_R,Bareland,50,159,84,0,51,390,19,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MRT_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MRT_M_R,Cropland,7,16,18,26,13,24,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MRT_M_R,Built-up,9,20,48,15,0,25,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MRT_M_R,Forest,39,239,353,204,101,163,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MRT_M_R,Water,4,101,26,240,87,0,40,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MRT_M_R,Non_Wetland,9,13,0,1,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MRT_M_R,Bareland,617,297,0,0,5,80,90,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MRT_M_R,Shrubland,168,48,0,8,8,2,37,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MRT_M_R,Grassland,0,66,0,6,0,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MRT_M_R,Wetland,1060,0,0,191,17,132,266,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MRT_M_R,Built-up,160,21,0,29,0,4,75,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MRT_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MRT_M_R,Water,250,364,0,252,0,0,55,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MRT_M_R,Cropland,56,28,0,7,1,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MRT_M_R,Forest,424,237,0,15,6,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MRT_M_R,Non_Wetland,9,15,3,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MRT_M_R,Grassland,0,106,161,85,8,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MRT_M_R,Wetland,862,0,470,604,4,156,193,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MRT_M_R,Bareland,375,111,84,0,12,31,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MRT_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MRT_M_R,Water,327,182,58,446,8,0,84,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MRT_M_R,Shrubland,36,38,0,36,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MRT_M_R,Forest,145,294,467,210,8,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MRT_M_R,Built-up,22,49,82,110,0,2,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MRT_M_R,Cropland,27,21,28,35,0,5,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MRT_M_R,Wetland,0,0,0,0,0,52,0,0,1478,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MRT_M_R,Grassland,0,23,0,0,0,0,0,0,431,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MRT_M_R,Bareland,0,197,0,0,0,36,0,0,800,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MRT_M_R,Water,0,362,0,0,0,0,0,0,300,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MRT_M_R,Shrubland,0,0,0,0,0,0,0,0,204,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MRT_M_R,Cropland,0,0,0,0,0,0,0,0,65,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MRT_M_R,Built-up,0,21,0,0,0,1,0,0,84,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MRT_M_R,Forest,0,183,0,0,0,13,0,0,781,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MRT_M_R,Grassland,0,0,0,0,0,53,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MRT_M_R,Water,0,0,0,0,0,0,0,0,0,189,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MRT_M_R,Wetland,0,0,0,0,0,543,0,0,0,335,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MRT_M_R,Shrubland,0,0,0,0,0,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MRT_M_R,Bareland,0,0,0,0,0,363,0,0,0,178,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MRT_M_R,Cropland,0,0,0,0,0,13,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MRT_M_R,Built-up,0,0,0,0,0,35,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MRT_M_R,Forest,0,0,0,0,0,51,0,0,0,32,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MRT_M_R,Grassland,0,23,106,35,38,0,67,161,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MRT_M_R,Wetland,165,0,300,137,64,60,199,332,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MRT_M_R,Forest,216,191,148,97,44,17,0,249,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MRT_M_R,Bareland,86,234,210,0,176,62,101,370,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MRT_M_R,Built-up,48,22,35,25,0,1,20,96,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MRT_M_R,Water,30,455,110,122,79,0,60,148,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MRT_M_R,Shrubland,22,0,0,12,8,0,10,44,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MRT_M_R,Cropland,2,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MRT_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MRT_M_R,Wetland,0,0,0,90,155,309,397,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MRT_M_R,Shrubland,0,77,0,2,49,5,18,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MRT_M_R,Grassland,0,114,0,20,59,15,31,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MRT_M_R,Bareland,0,277,0,0,43,220,81,4,0,0,0,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MRT_M_R,Water,0,139,0,121,31,0,50,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MRT_M_R,Built-up,0,3,0,4,0,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MRT_M_R,Forest,0,283,0,8,80,39,0,0,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MRT_M_R,Cropland,0,3,0,0,2,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MRT_M_R,Shrubland,16,38,0,21,0,11,118,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MRT_M_R,Wetland,95,0,0,181,0,375,754,66,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MRT_M_R,Bareland,4,170,0,0,0,184,142,7,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MRT_M_R,Water,3,124,0,100,0,0,86,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MRT_M_R,Forest,8,24,0,19,0,5,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MRT_M_R,Grassland,0,96,0,56,0,24,171,10,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MRT_M_R,Built-up,0,1,0,6,0,12,56,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MRT_M_R,Cropland,0,0,0,2,0,0,0,0,0,0,0,0
