Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24LUQ_M_R,Shrubland,274,90,113,72,125,130,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUQ_M_R,Non_Wetland,0,0,0,0,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUQ_M_R,Grassland,0,201,92,23,216,88,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUQ_M_R,Bareland,457,118,0,151,114,45,107,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUQ_M_R,Built-up,478,207,230,0,303,93,40,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUQ_M_R,Water,863,80,415,46,789,613,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUQ_M_R,Cropland,756,0,378,166,491,271,25,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUQ_M_R,Forest,512,161,113,56,0,342,39,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUQ_M_R,Non_Water,5,0,2,0,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUQ_M_R,Wetland,406,58,75,9,454,0,108,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LUQ_M_R,Permanent_ice_and_snow,17,1,10,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUQ_M_R,Non_Wetland,3,0,0,1,0,0,1,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUQ_M_R,Shrubland,52,0,72,46,8,0,70,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUQ_M_R,Grassland,0,0,62,206,1,0,83,187,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUQ_M_R,Cropland,488,0,249,576,2,0,236,447,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUQ_M_R,Bareland,139,0,0,204,3,0,346,152,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUQ_M_R,Built-up,92,0,179,0,7,0,110,136,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUQ_M_R,Water,24,0,161,268,70,0,0,219,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUQ_M_R,Forest,141,0,178,369,0,0,426,647,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUQ_M_R,Non_Water,0,0,0,0,0,0,6,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUQ_M_R,Wetland,9,0,73,73,52,0,607,250,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUQ_M_R,Permanent_ice_and_snow,3,0,2,0,0,0,8,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUQ_M_R,Non_Wetland,1,1,0,0,2,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUQ_M_R,Grassland,0,99,127,57,35,0,82,218,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUQ_M_R,Bareland,148,41,0,102,4,0,83,140,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUQ_M_R,Forest,295,326,346,57,0,0,325,715,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUQ_M_R,Built-up,223,114,384,0,16,0,71,211,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUQ_M_R,Non_Water,0,0,2,0,0,0,5,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUQ_M_R,Water,79,109,442,83,143,0,0,440,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUQ_M_R,Shrubland,60,18,78,25,15,0,28,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUQ_M_R,Cropland,615,0,487,221,98,0,136,519,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUQ_M_R,Wetland,67,155,211,8,183,0,416,411,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUQ_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUQ_M_R,Permanent_ice_and_snow,4,1,9,0,0,0,2,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUQ_M_R,Shrubland,0,0,0,0,0,0,0,0,231,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUQ_M_R,Grassland,0,0,0,0,0,25,7,0,162,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUQ_M_R,Water,0,0,0,0,0,604,0,0,603,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUQ_M_R,Cropland,0,0,0,0,0,102,13,0,382,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUQ_M_R,Built-up,0,0,0,0,0,57,12,0,130,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUQ_M_R,Bareland,0,0,0,0,0,134,34,0,62,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUQ_M_R,Forest,0,0,0,0,0,339,73,0,556,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUQ_M_R,Wetland,0,0,0,0,0,0,19,0,983,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUQ_M_R,Grassland,0,0,0,0,0,0,72,0,0,68,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUQ_M_R,Bareland,0,0,0,0,0,0,323,0,0,162,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUQ_M_R,Water,0,0,0,0,0,0,0,0,0,944,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUQ_M_R,Shrubland,0,0,0,0,0,0,97,0,0,49,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUQ_M_R,Forest,0,0,0,0,0,0,241,0,0,347,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUQ_M_R,Cropland,0,0,0,0,0,0,167,0,0,104,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUQ_M_R,Built-up,0,0,0,0,0,0,106,0,0,75,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUQ_M_R,Wetland,0,0,0,0,0,0,420,0,0,368,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUQ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUQ_M_R,Grassland,0,369,53,151,157,25,7,352,0,0,18,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUQ_M_R,Bareland,74,507,0,399,92,134,34,543,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUQ_M_R,Built-up,172,332,46,0,127,57,12,358,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUQ_M_R,Water,131,615,105,218,288,604,0,802,0,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUQ_M_R,Cropland,310,0,99,299,267,102,13,612,0,0,32,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUQ_M_R,Forest,381,557,112,251,0,339,73,593,0,0,37,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUQ_M_R,Shrubland,20,36,17,27,45,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUQ_M_R,Wetland,76,192,17,70,135,0,19,249,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUQ_M_R,Permanent_ice_and_snow,1,20,2,5,1,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUQ_M_R,Grassland,0,674,2,230,134,20,49,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUQ_M_R,Bareland,0,358,0,398,47,3,111,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUQ_M_R,Built-up,0,144,16,0,17,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUQ_M_R,Shrubland,0,247,0,83,87,15,57,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUQ_M_R,Water,0,463,27,282,75,120,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUQ_M_R,Forest,0,592,0,396,0,147,307,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUQ_M_R,Wetland,0,491,1,201,161,0,307,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUQ_M_R,Cropland,0,0,5,251,109,14,25,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUQ_M_R,Permanent_ice_and_snow,0,5,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUQ_M_R,Shrubland,83,102,85,0,214,93,64,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUQ_M_R,Cropland,183,0,150,0,290,108,69,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUQ_M_R,Built-up,55,259,212,0,300,39,100,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUQ_M_R,Forest,109,68,21,0,0,119,52,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUQ_M_R,Water,122,84,136,0,380,372,0,0,0,0,0,17
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUQ_M_R,Bareland,11,76,0,0,75,14,87,0,0,0,0,36
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUQ_M_R,Wetland,138,80,35,0,297,0,119,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUQ_M_R,Grassland,0,152,115,0,175,54,32,0,0,0,0,11
