Dataset,MajorityClass,Forest,Cropland,Bareland,Built-up,Water,Wetland,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LEJ_M_R,Grassland,298,32,76,49,32,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEJ_M_R,Non_Wetland,2,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEJ_M_R,Cropland,80,0,14,13,3,1,97,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEJ_M_R,Bareland,62,1,0,11,16,0,103,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEJ_M_R,Built-up,68,0,2,0,0,0,54,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEJ_M_R,Water,612,0,238,4,0,6,518,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEJ_M_R,Forest,0,1,83,28,88,8,384,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEJ_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEJ_M_R,Shrubland,6,0,0,1,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEJ_M_R,Wetland,68,1,8,1,13,0,70,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEJ_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEJ_M_R,Grassland,0,0,0,0,35,86,0,188,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEJ_M_R,Water,0,0,0,0,0,250,0,131,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEJ_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEJ_M_R,Cropland,0,0,0,0,1,3,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEJ_M_R,Forest,0,0,0,0,93,211,0,303,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEJ_M_R,Bareland,0,0,0,0,17,20,0,24,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEJ_M_R,Built-up,0,0,0,0,4,1,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEJ_M_R,Wetland,0,0,0,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEJ_M_R,Grassland,66,0,126,16,121,61,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEJ_M_R,Non_Wetland,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEJ_M_R,Cropland,16,0,26,0,10,8,152,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEJ_M_R,Bareland,35,0,0,0,28,20,97,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEJ_M_R,Built-up,6,0,50,0,2,11,46,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEJ_M_R,Water,230,0,102,5,0,171,624,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEJ_M_R,Forest,0,0,129,21,203,275,578,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEJ_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEJ_M_R,Shrubland,1,0,0,0,3,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEJ_M_R,Wetland,30,0,14,0,16,0,75,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEJ_M_R,Non_Wetland,0,0,2,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEJ_M_R,Forest,0,11,615,9,300,31,434,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEJ_M_R,Grassland,29,24,468,23,171,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEJ_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEJ_M_R,Water,74,0,594,9,0,0,245,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEJ_M_R,Shrubland,0,0,9,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEJ_M_R,Cropland,3,0,115,6,14,0,73,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEJ_M_R,Wetland,7,0,74,0,43,0,37,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEJ_M_R,Built-up,3,0,70,0,2,0,36,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEJ_M_R,Bareland,0,0,0,0,11,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEJ_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEJ_M_R,Grassland,0,0,0,0,206,0,0,0,92,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEJ_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEJ_M_R,Bareland,0,0,0,0,32,0,0,0,30,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEJ_M_R,Wetland,0,0,0,0,19,0,0,0,30,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEJ_M_R,Water,0,0,0,0,0,0,0,0,329,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEJ_M_R,Forest,0,0,0,0,300,0,0,0,164,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEJ_M_R,Cropland,0,0,0,0,12,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEJ_M_R,Built-up,0,0,0,0,2,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEJ_M_R,Grassland,219,216,81,91,35,86,0,0,0,153,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEJ_M_R,Bareland,24,42,0,33,17,20,40,0,0,26,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEJ_M_R,Forest,0,168,127,75,93,211,163,0,0,133,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEJ_M_R,Water,270,130,148,61,0,250,191,0,0,175,10,0
