Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LDK_M_R,Shrubland,316,30,171,95,46,44,49,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDK_M_R,Grassland,0,99,266,80,59,46,40,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDK_M_R,Non_Wetland,15,1,5,9,0,1,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDK_M_R,Bareland,197,40,84,4,0,26,118,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDK_M_R,Built-up,99,21,111,0,22,0,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDK_M_R,Water,573,11,438,373,83,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDK_M_R,Forest,957,113,0,208,83,47,323,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDK_M_R,Cropland,423,0,266,11,94,67,29,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDK_M_R,Wetland,672,27,288,0,59,11,256,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDK_M_R,Non_Water,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDK_M_R,Permanent_ice_and_snow,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDK_M_R,Non_Wetland,4,0,5,19,1,0,4,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDK_M_R,Shrubland,95,0,31,120,31,13,35,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDK_M_R,Grassland,0,0,125,301,58,10,57,307,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDK_M_R,Cropland,466,0,75,129,131,16,28,252,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDK_M_R,Wetland,215,0,245,0,44,0,315,536,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDK_M_R,Bareland,130,0,19,32,0,21,59,74,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDK_M_R,Built-up,80,0,8,28,55,0,7,59,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDK_M_R,Forest,550,0,0,619,264,24,300,1040,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDK_M_R,Non_Water,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDK_M_R,Water,235,0,280,360,88,2,0,467,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDK_M_R,Permanent_ice_and_snow,0,0,0,1,2,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDK_M_R,Wetland,0,0,0,0,0,0,107,0,868,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDK_M_R,Shrubland,0,0,0,0,0,0,0,0,342,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDK_M_R,Grassland,0,0,0,101,0,0,50,0,578,0,0
