Dataset,MajorityClass,Grassland,Forest,Cropland,Water,Wetland,Bareland,Built-up,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_22KCF_M_R,Shrubland,192,109,46,17,14,23,42,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCF_M_R,Grassland,0,166,124,15,11,51,48,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCF_M_R,Non_Wetland,8,6,1,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCF_M_R,Bareland,132,68,36,10,1,0,38,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCF_M_R,Forest,884,0,283,250,41,128,156,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCF_M_R,Cropland,672,447,0,54,6,157,186,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCF_M_R,Wetland,89,45,6,48,0,5,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCF_M_R,Built-up,256,200,72,13,0,66,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCF_M_R,Water,341,356,15,0,31,86,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCF_M_R,Non_Wetland,2,1,0,1,14,3,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCF_M_R,Shrubland,58,27,0,11,58,26,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCF_M_R,Grassland,0,107,0,29,134,37,19,158,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCF_M_R,Cropland,551,307,0,54,287,210,92,431,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCF_M_R,Wetland,3,10,0,37,0,5,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCF_M_R,Bareland,97,21,0,44,17,0,17,52,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCF_M_R,Water,102,170,0,0,295,40,40,130,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCF_M_R,Forest,503,0,0,271,704,283,105,642,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCF_M_R,Built-up,149,79,0,23,51,102,0,92,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCF_M_R,Non_Wetland,2,1,0,0,14,2,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCF_M_R,Grassland,0,62,65,10,93,105,29,126,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCF_M_R,Wetland,8,3,0,1,0,44,0,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCF_M_R,Forest,520,0,162,57,713,745,58,519,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCF_M_R,Bareland,103,11,8,9,0,0,4,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCF_M_R,Water,29,151,2,0,322,532,20,91,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCF_M_R,Shrubland,64,19,13,5,37,69,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCF_M_R,Built-up,221,28,11,4,70,207,0,72,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCF_M_R,Cropland,530,170,0,16,191,423,91,259,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCF_M_R,Wetland,0,0,0,3,0,0,0,0,275,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCF_M_R,Grassland,0,0,0,16,2,0,0,0,227,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCF_M_R,Forest,0,0,0,101,104,0,0,0,1251,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCF_M_R,Water,0,0,0,0,164,0,0,0,358,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCF_M_R,Shrubland,0,0,0,0,0,0,0,0,110,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCF_M_R,Bareland,0,0,0,11,10,0,0,0,17,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCF_M_R,Cropland,0,0,0,29,6,0,0,0,452,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCF_M_R,Built-up,0,0,0,19,1,0,0,0,117,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCF_M_R,Grassland,0,215,378,16,2,15,138,403,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCF_M_R,Wetland,0,58,19,3,0,10,4,109,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCF_M_R,Bareland,0,29,203,11,10,0,144,137,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCF_M_R,Forest,5,0,798,101,104,49,304,882,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCF_M_R,Cropland,0,268,0,29,6,10,195,488,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCF_M_R,Built-up,0,64,196,19,1,1,0,158,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCF_M_R,Water,0,222,262,0,164,42,35,313,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCF_M_R,Shrubland,0,15,23,0,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCF_M_R,Grassland,0,0,0,21,0,0,0,0,0,0,3
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCF_M_R,Shrubland,0,0,0,9,0,0,0,0,0,0,4
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCF_M_R,Wetland,0,0,0,32,0,0,0,0,0,0,30
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCF_M_R,Water,0,0,0,0,0,0,0,0,0,0,217
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCF_M_R,Cropland,0,0,0,37,0,0,0,0,0,0,9
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCF_M_R,Bareland,0,0,0,9,0,0,0,0,0,0,7
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCF_M_R,Forest,0,0,0,200,0,0,0,0,0,0,130
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCF_M_R,Built-up,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCF_M_R,Grassland,0,182,443,34,5,3,139,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCF_M_R,Forest,0,0,701,413,32,0,430,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCF_M_R,Shrubland,0,65,121,14,6,0,58,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCF_M_R,Wetland,0,40,48,47,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCF_M_R,Bareland,0,20,191,22,0,0,125,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCF_M_R,Built-up,0,9,73,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCF_M_R,Water,0,74,177,0,10,1,22,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCF_M_R,Cropland,0,178,0,8,0,4,194,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCF_M_R,Wetland,31,138,7,47,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCF_M_R,Forest,131,0,207,68,0,76,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCF_M_R,Shrubland,50,132,61,18,0,36,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCF_M_R,Cropland,147,245,0,45,1,136,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCF_M_R,Bareland,2,61,19,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCF_M_R,Built-up,10,139,137,14,0,66,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCF_M_R,Water,5,351,16,0,1,17,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCF_M_R,Grassland,0,128,101,19,0,79,0,0,0,0,0
