Dataset,MajorityClass,Forest,Wetland,Built-up,Bareland,Grassland,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24LWJ_M_R,Grassland,54,17,4,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWJ_M_R,Non_Wetland,0,2,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWJ_M_R,Bareland,0,29,5,0,168,57,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWJ_M_R,Built-up,74,16,0,37,152,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWJ_M_R,Water,55,93,2,39,83,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWJ_M_R,Non_Water,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWJ_M_R,Shrubland,3,4,1,0,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWJ_M_R,Cropland,23,14,1,2,36,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWJ_M_R,Wetland,46,0,5,19,157,40,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWJ_M_R,Forest,0,98,13,15,241,9,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWJ_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWJ_M_R,Non_Wetland,0,3,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWJ_M_R,Grassland,6,24,14,34,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWJ_M_R,Non_Water,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWJ_M_R,Shrubland,1,2,2,3,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWJ_M_R,Cropland,3,7,5,2,14,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWJ_M_R,Water,8,14,33,80,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWJ_M_R,Wetland,12,0,1,65,0,115,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWJ_M_R,Built-up,3,11,0,28,12,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWJ_M_R,Forest,0,99,27,49,62,57,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWJ_M_R,Bareland,0,10,42,0,0,37,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWJ_M_R,Wetland,0,0,0,0,0,2,0,135,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWJ_M_R,Grassland,0,11,0,0,0,0,0,63,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWJ_M_R,Built-up,0,40,0,0,0,1,0,28,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWJ_M_R,Shrubland,0,0,0,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWJ_M_R,Cropland,0,0,0,0,0,0,0,23,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWJ_M_R,Bareland,0,77,0,0,0,9,0,38,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWJ_M_R,Water,0,158,0,0,0,0,0,43,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWJ_M_R,Forest,0,99,0,0,0,2,0,209,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWJ_M_R,Non_Wetland,0,0,0,1,0,0,0,0,0,0,0,0
