Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LMC_M_R,Shrubland,355,98,175,90,91,50,64,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMC_M_R,Grassland,0,206,173,46,64,24,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMC_M_R,Non_Wetland,13,5,8,14,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMC_M_R,Bareland,225,38,60,11,0,15,53,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMC_M_R,Built-up,97,53,79,0,33,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMC_M_R,Water,760,267,745,292,293,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMC_M_R,Forest,1005,327,0,230,188,73,358,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMC_M_R,Cropland,541,0,324,29,127,69,28,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMC_M_R,Wetland,538,262,405,0,48,2,219,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMC_M_R,Non_Water,7,0,2,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMC_M_R,Permanent_ice_and_snow,24,0,1,0,12,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMC_M_R,Non_Wetland,4,0,3,24,2,0,6,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMC_M_R,Shrubland,124,0,53,100,51,15,75,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMC_M_R,Grassland,0,0,131,127,36,21,98,268,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMC_M_R,Cropland,716,0,208,116,69,68,158,458,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMC_M_R,Wetland,271,0,389,0,38,0,476,584,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMC_M_R,Bareland,213,0,27,44,0,27,253,149,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMC_M_R,Built-up,111,0,5,4,34,0,21,83,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMC_M_R,Water,383,0,327,313,58,9,0,746,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMC_M_R,Forest,669,0,0,556,147,36,739,1299,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMC_M_R,Non_Water,0,0,2,0,0,0,10,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMC_M_R,Permanent_ice_and_snow,20,0,1,11,5,0,0,22,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMC_M_R,Non_Wetland,4,0,4,17,9,0,3,11,0,0,0,0
