Dataset,MajorityClass,Grassland,Built-up,Forest,Water,Bareland,Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18MWD_M_R,Shrubland,2,1,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWD_M_R,Wetland,23,0,18,38,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWD_M_R,Bareland,4,0,4,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWD_M_R,Built-up,5,0,9,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWD_M_R,Water,56,1,65,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWD_M_R,Forest,64,2,0,29,3,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWD_M_R,Grassland,0,1,9,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWD_M_R,Cropland,3,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWD_M_R,Wetland,0,0,0,29,0,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWD_M_R,Bareland,0,0,0,6,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWD_M_R,Water,0,0,0,0,0,0,79,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWD_M_R,Forest,0,0,0,41,0,0,40,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWD_M_R,Grassland,0,0,0,5,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWD_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWD_M_R,Wetland,0,4,16,12,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWD_M_R,Water,0,12,29,0,29,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWD_M_R,Grassland,0,5,13,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWD_M_R,Forest,0,13,0,41,2,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWD_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWD_M_R,Cropland,0,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWD_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWD_M_R,Built-up,3,0,2,1,1,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWD_M_R,Water,16,13,17,0,21,41,0,24,10,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWD_M_R,Forest,18,16,0,9,27,25,0,38,13,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWD_M_R,Grassland,0,1,8,3,3,5,0,11,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWD_M_R,Cropland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWD_M_R,Bareland,0,0,3,1,0,7,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWD_M_R,Water,0,0,0,0,0,41,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWD_M_R,Forest,0,0,0,9,0,25,0,0,0,0,29,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWD_M_R,Grassland,0,0,0,3,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWD_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWD_M_R,Bareland,0,0,0,1,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWD_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWD_M_R,Wetland,8,0,27,10,5,0,0,0,9,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWD_M_R,Water,9,0,53,0,19,7,0,0,8,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWD_M_R,Forest,6,0,0,17,1,7,0,0,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWD_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWD_M_R,Grassland,0,0,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWD_M_R,Built-up,0,0,2,0,0,0,0,0,0,0,0,0
