Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Shrubland,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NFC_M_R,Shrubland,4,1,1,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFC_M_R,Grassland,0,3,0,1,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFC_M_R,Wetland,51,0,1,0,53,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFC_M_R,Cropland,3,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFC_M_R,Bareland,12,0,0,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFC_M_R,Built-up,13,6,4,0,12,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFC_M_R,Water,69,20,2,1,92,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFC_M_R,Forest,106,25,0,7,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFC_M_R,Permanent_ice_and_snow,6,2,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFC_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFC_M_R,Grassland,0,0,0,0,0,0,31,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFC_M_R,Wetland,0,0,0,0,0,3,33,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFC_M_R,Forest,0,72,0,0,0,41,192,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFC_M_R,Bareland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFC_M_R,Built-up,0,0,0,0,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFC_M_R,Water,0,76,0,0,0,0,37,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFC_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFC_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFC_M_R,Grassland,0,0,0,0,9,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFC_M_R,Forest,98,72,8,9,0,41,0,66,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFC_M_R,Wetland,11,0,2,1,6,3,0,12,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFC_M_R,Water,31,76,0,0,46,0,0,28,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFC_M_R,Bareland,0,0,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFC_M_R,Built-up,14,0,3,0,7,0,0,12,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFC_M_R,Permanent_ice_and_snow,0,0,0,0,3,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFC_M_R,Cropland,2,0,0,0,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFC_M_R,Shrubland,1,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFC_M_R,Forest,67,125,0,0,0,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFC_M_R,Grassland,0,19,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFC_M_R,Bareland,0,1,0,0,0,0,0,0,0,0,0
