Dataset,MajorityClass,Shrubland,Bareland,Water,Forest,Wetland,Grassland,Built-up,Non_Wetland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKE_M_R,Grassland,1,8,6,4,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKE_M_R,Non_Wetland,0,1,1,1,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKE_M_R,Bareland,0,0,11,1,10,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKE_M_R,Built-up,0,18,7,6,18,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKE_M_R,Water,0,20,0,11,65,15,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKE_M_R,Forest,1,46,70,0,118,72,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKE_M_R,Shrubland,0,2,0,2,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKE_M_R,Cropland,0,5,0,5,7,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKE_M_R,Wetland,0,13,38,3,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKE_M_R,Non_Wetland,0,1,1,1,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKE_M_R,Shrubland,0,3,0,0,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKE_M_R,Grassland,0,5,2,0,11,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKE_M_R,Cropland,0,6,0,0,2,14,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKE_M_R,Wetland,0,15,27,5,0,27,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKE_M_R,Bareland,0,0,2,0,4,6,1,0,0,0,0
