Dataset,MajorityClass,Shrubland,Bareland,Water,Forest,Wetland,Grassland,Built-up,Non_Wetland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKE_M_R,Built-up,0,19,2,2,9,26,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKE_M_R,Water,0,35,0,8,63,27,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKE_M_R,Forest,0,68,32,0,79,105,25,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKE_M_R,Wetland,0,0,5,0,0,0,0,106,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKE_M_R,Shrubland,0,0,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKE_M_R,Grassland,0,0,0,0,0,0,0,28,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKE_M_R,Bareland,0,0,1,0,2,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKE_M_R,Built-up,0,0,0,0,0,0,0,26,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKE_M_R,Forest,0,0,6,0,21,0,0,188,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKE_M_R,Cropland,0,0,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKE_M_R,Water,0,0,0,0,24,0,0,90,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKE_M_R,Grassland,15,5,0,10,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKE_M_R,Wetland,14,16,5,8,0,13,7,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKE_M_R,Bareland,6,0,1,3,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKE_M_R,Built-up,16,0,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKE_M_R,Water,22,20,0,17,24,16,12,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKE_M_R,Cropland,4,0,0,2,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKE_M_R,Forest,56,28,6,0,21,22,38,0,7,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKE_M_R,Grassland,0,0,2,6,6,0,9,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKE_M_R,Water,0,14,0,11,27,0,10,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKE_M_R,Wetland,0,6,33,23,0,0,20,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKE_M_R,Bareland,0,0,7,5,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKE_M_R,Forest,0,2,53,0,20,0,51,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKE_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKE_M_R,Cropland,0,0,0,3,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKE_M_R,Wetland,0,2,28,98,0,8,0,0,1,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKE_M_R,Water,0,7,0,60,8,2,0,0,1,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKE_M_R,Bareland,0,0,3,7,0,1,0,0,2,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKE_M_R,Built-up,0,0,3,22,0,1,0,0,4,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKE_M_R,Grassland,0,0,2,11,1,0,0,0,5,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKE_M_R,Forest,0,0,0,0,0,0,0,0,8,0,0
