Dataset,MajorityClass,Forest,Wetland,Built-up,Bareland,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18LZR_M_R,Grassland,191,1,3,42,36,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZR_M_R,Forest,0,0,5,196,242,397,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZR_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZR_M_R,Bareland,57,0,0,0,101,109,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZR_M_R,Water,575,0,0,319,0,387,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZR_M_R,Shrubland,1,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZR_M_R,Cropland,16,0,0,2,1,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZR_M_R,Wetland,7,0,0,1,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZR_M_R,Built-up,50,0,0,6,3,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZR_M_R,Wetland,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZR_M_R,Grassland,0,5,0,0,49,0,84,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZR_M_R,Cropland,0,0,0,0,1,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZR_M_R,Forest,0,60,0,0,149,0,390,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZR_M_R,Bareland,0,5,0,0,52,0,82,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZR_M_R,Built-up,0,0,0,0,2,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZR_M_R,Water,0,66,0,0,0,0,160,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZR_M_R,Wetland,0,0,0,2,2,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZR_M_R,Non_Wetland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZR_M_R,Forest,0,48,31,431,335,626,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZR_M_R,Grassland,15,0,10,112,56,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZR_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZR_M_R,Bareland,0,0,1,0,167,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZR_M_R,Water,103,1,36,399,0,457,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZR_M_R,Cropland,0,0,1,4,4,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZR_M_R,Built-up,0,0,0,14,6,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZR_M_R,Non_Wetland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZR_M_R,Grassland,77,73,1,79,105,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZR_M_R,Bareland,113,94,0,0,211,124,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZR_M_R,Water,391,296,1,103,0,322,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZR_M_R,Forest,0,396,3,143,369,340,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZR_M_R,Shrubland,1,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZR_M_R,Cropland,3,5,0,6,3,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZR_M_R,Wetland,2,0,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZR_M_R,Built-up,4,3,0,31,6,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZR_M_R,Grassland,0,0,0,0,89,0,0,112,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZR_M_R,Bareland,0,0,0,0,126,0,0,178,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZR_M_R,Forest,0,0,0,0,336,0,0,361,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZR_M_R,Cropland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZR_M_R,Water,0,0,0,0,0,0,0,551,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZR_M_R,Built-up,0,0,0,0,1,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZR_M_R,Wetland,0,0,0,0,2,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZR_M_R,Grassland,165,5,34,34,49,0,0,0,63,60,25,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZR_M_R,Wetland,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZR_M_R,Forest,0,60,98,132,149,261,0,0,180,89,86,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZR_M_R,Bareland,94,5,51,0,52,99,0,0,54,6,48,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZR_M_R,Water,373,66,63,132,0,229,0,0,173,28,67,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZR_M_R,Built-up,14,0,0,0,2,21,0,0,11,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZR_M_R,Cropland,6,0,0,0,1,1,0,0,1,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZR_M_R,Grassland,117,10,58,13,134,0,0,0,0,46,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZR_M_R,Water,251,1,22,157,0,0,0,0,0,17,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZR_M_R,Forest,0,3,71,19,406,0,0,0,0,29,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZR_M_R,Bareland,104,0,9,0,105,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZR_M_R,Wetland,3,0,0,2,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZR_M_R,Cropland,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZR_M_R,Forest,0,1,0,72,86,37,0,0,0,79,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZR_M_R,Bareland,47,0,0,0,2,3,0,0,0,15,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZR_M_R,Water,523,2,0,428,0,37,0,0,0,63,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZR_M_R,Grassland,151,3,0,47,50,0,0,0,0,90,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZR_M_R,Wetland,5,0,0,1,2,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZR_M_R,Built-up,1,0,0,0,6,0,0,0,0,3,0,0
