Dataset,MajorityClass,Grassland,Built-up,Forest,Bareland,Wetland,Cropland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23MQS_M_R,Shrubland,430,88,206,53,135,52,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQS_M_R,Grassland,0,89,419,68,245,231,50,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQS_M_R,Non_Wetland,21,2,5,1,18,4,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQS_M_R,Bareland,1051,57,169,0,402,183,175,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQS_M_R,Built-up,476,0,235,107,94,84,25,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQS_M_R,Water,1160,16,510,243,753,109,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQS_M_R,Forest,1740,221,0,106,563,180,215,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQS_M_R,Cropland,821,84,332,125,78,0,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQS_M_R,Wetland,2101,49,735,175,0,196,478,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQS_M_R,Non_Water,3,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQS_M_R,Lichens_and_Mosses,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQS_M_R,Permanent_ice_and_snow,20,0,3,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQS_M_R,Non_Wetland,9,3,6,5,19,0,6,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQS_M_R,Shrubland,96,40,58,40,48,0,43,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQS_M_R,Grassland,0,152,382,226,479,0,309,694,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQS_M_R,Cropland,528,132,315,135,173,0,208,593,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQS_M_R,Wetland,606,186,645,633,0,0,1330,1012,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQS_M_R,Bareland,270,124,148,0,104,0,608,386,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQS_M_R,Built-up,168,0,130,102,58,0,65,268,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQS_M_R,Forest,665,411,0,318,666,0,386,1443,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQS_M_R,Non_Water,0,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQS_M_R,Water,339,171,382,185,418,0,0,562,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQS_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQS_M_R,Permanent_ice_and_snow,0,3,0,6,0,0,1,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQS_M_R,Wetland,0,0,0,0,0,0,133,0,3360,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQS_M_R,Shrubland,0,0,0,0,0,0,0,0,436,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQS_M_R,Grassland,0,0,0,0,132,0,10,0,1695,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQS_M_R,Water,0,0,0,0,767,0,0,0,1185,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQS_M_R,Forest,0,0,0,0,474,0,112,0,2323,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQS_M_R,Bareland,0,0,0,0,215,0,41,0,937,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQS_M_R,Built-up,0,0,0,0,60,0,2,0,284,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQS_M_R,Cropland,0,0,0,0,39,0,0,0,337,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQS_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQS_M_R,Non_Wetland,13,2,6,1,26,1,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQS_M_R,Grassland,0,101,332,424,421,164,26,689,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQS_M_R,Wetland,1350,33,735,598,0,0,251,1066,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQS_M_R,Built-up,209,0,69,295,98,14,1,338,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQS_M_R,Forest,828,260,0,650,856,148,78,1591,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQS_M_R,Bareland,606,69,34,0,118,66,20,222,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQS_M_R,Water,906,35,515,804,799,1,0,492,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQS_M_R,Non_Water,0,0,0,1,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQS_M_R,Shrubland,105,25,37,75,70,14,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQS_M_R,Cropland,496,111,136,415,104,0,18,352,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQS_M_R,Lichens_and_Mosses,0,0,1,0,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQS_M_R,Permanent_ice_and_snow,1,0,0,14,0,0,0,17,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQS_M_R,Grassland,0,0,0,0,0,0,443,0,0,164,0,0
