Dataset,MajorityClass,Grassland,Forest,Wetland,Cropland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KXU_M_R,Shrubland,86,92,78,10,9,5,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXU_M_R,Grassland,0,330,380,52,68,29,54,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXU_M_R,Bareland,41,35,25,4,0,4,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXU_M_R,Forest,464,0,513,39,42,26,132,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXU_M_R,Non_Wetland,6,9,18,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXU_M_R,Cropland,294,289,168,0,56,28,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXU_M_R,Wetland,339,322,0,0,5,0,183,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXU_M_R,Water,184,315,593,2,25,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXU_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXU_M_R,Built-up,27,42,2,4,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXU_M_R,Permanent_ice_and_snow,0,0,2,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXU_M_R,Non_Wetland,10,5,7,0,0,0,4,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXU_M_R,Shrubland,65,25,21,0,18,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXU_M_R,Grassland,0,116,182,0,23,5,61,113,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXU_M_R,Cropland,504,119,63,0,39,0,34,96,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXU_M_R,Wetland,714,87,0,0,1,0,385,111,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXU_M_R,Bareland,125,5,6,0,0,0,6,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXU_M_R,Water,568,114,242,0,10,0,0,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXU_M_R,Forest,868,0,395,0,124,1,191,437,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXU_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXU_M_R,Built-up,61,4,0,0,7,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXU_M_R,Permanent_ice_and_snow,3,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXU_M_R,Shrubland,0,0,0,0,0,0,0,0,125,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXU_M_R,Wetland,0,0,0,0,0,0,88,0,886,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXU_M_R,Grassland,0,0,127,0,0,0,72,0,757,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXU_M_R,Forest,0,0,231,0,0,0,170,0,1196,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXU_M_R,Water,0,0,247,0,0,0,0,0,351,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXU_M_R,Cropland,0,0,9,0,0,0,8,0,286,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXU_M_R,Bareland,0,0,5,0,0,0,4,0,45,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXU_M_R,Built-up,0,0,0,0,0,0,1,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXU_M_R,Grassland,0,48,279,86,82,8,190,107,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXU_M_R,Non_Wetland,8,3,10,1,1,0,6,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXU_M_R,Wetland,508,27,0,0,7,0,575,72,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXU_M_R,Forest,795,0,557,153,202,3,342,411,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXU_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXU_M_R,Water,274,30,354,2,50,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXU_M_R,Shrubland,51,9,34,15,25,1,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXU_M_R,Cropland,287,33,103,0,128,6,97,71,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXU_M_R,Bareland,24,0,13,4,0,0,43,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXU_M_R,Built-up,35,0,1,9,31,0,1,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXU_M_R,Grassland,0,0,0,0,0,0,164,0,0,76,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXU_M_R,Wetland,0,0,0,0,0,0,395,0,0,285,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXU_M_R,Shrubland,0,0,0,0,0,0,1,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXU_M_R,Water,0,0,0,0,0,0,0,0,0,284,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXU_M_R,Cropland,0,0,0,0,0,0,25,0,0,16,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXU_M_R,Forest,0,0,0,0,0,0,170,0,0,120,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXU_M_R,Bareland,0,0,0,0,0,0,1,0,0,15,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXU_M_R,Grassland,0,288,127,429,53,78,72,493,0,0,18,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXU_M_R,Wetland,6,265,0,139,48,4,88,245,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXU_M_R,Forest,139,0,231,474,75,59,170,604,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXU_M_R,Cropland,17,86,9,0,6,24,8,221,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXU_M_R,Bareland,1,9,5,75,0,20,4,55,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXU_M_R,Water,2,226,247,129,29,3,0,147,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXU_M_R,Shrubland,6,7,0,11,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXU_M_R,Built-up,1,2,0,36,0,0,1,23,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXU_M_R,Permanent_ice_and_snow,0,0,0,2,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXU_M_R,Grassland,0,178,68,452,4,79,29,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXU_M_R,Forest,0,0,145,305,0,111,193,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXU_M_R,Wetland,0,197,0,331,7,15,129,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXU_M_R,Bareland,0,3,1,27,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXU_M_R,Shrubland,0,25,1,45,0,10,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXU_M_R,Water,0,98,163,115,11,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXU_M_R,Built-up,0,0,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXU_M_R,Cropland,0,43,0,0,0,17,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXU_M_R,Wetland,293,592,0,176,118,0,201,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXU_M_R,Forest,136,0,20,121,39,0,41,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXU_M_R,Shrubland,23,77,1,25,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXU_M_R,Water,118,425,62,77,53,0,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXU_M_R,Cropland,43,73,1,0,20,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXU_M_R,Grassland,0,230,33,150,89,0,49,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXU_M_R,Bareland,0,10,0,8,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXU_M_R,Built-up,0,5,0,2,0,0,0,0,0,0,0,0
