Dataset,MajorityClass,Forest,Cropland,Wetland,Bareland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_22LCQ_M_R,Grassland,268,92,112,45,10,21,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCQ_M_R,Non_Wetland,9,0,5,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCQ_M_R,Shrubland,66,14,14,20,3,2,119,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCQ_M_R,Cropland,201,0,3,64,23,8,303,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCQ_M_R,Wetland,201,0,0,10,0,69,169,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCQ_M_R,Bareland,29,7,0,0,0,5,51,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCQ_M_R,Forest,0,50,119,23,6,80,483,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCQ_M_R,Water,309,0,124,64,1,0,230,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCQ_M_R,Built-up,20,4,0,11,0,0,19,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCQ_M_R,Non_Wetland,3,0,12,3,0,1,4,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCQ_M_R,Shrubland,24,0,36,19,0,3,63,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCQ_M_R,Grassland,127,0,262,73,0,36,0,131,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCQ_M_R,Cropland,78,0,124,28,0,6,367,140,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCQ_M_R,Wetland,46,0,0,2,0,92,105,7,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCQ_M_R,Bareland,6,0,11,0,0,7,41,7,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCQ_M_R,Water,85,0,341,9,0,0,274,8,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCQ_M_R,Forest,0,0,598,167,0,124,533,227,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCQ_M_R,Built-up,2,0,1,32,0,0,27,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCQ_M_R,Grassland,50,151,153,98,14,29,0,173,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCQ_M_R,Non_Wetland,0,2,12,3,0,1,5,4,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCQ_M_R,Wetland,18,35,0,9,0,107,224,39,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCQ_M_R,Forest,0,129,385,182,9,150,599,265,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCQ_M_R,Water,43,96,116,1,0,0,283,126,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCQ_M_R,Shrubland,6,19,24,18,2,6,45,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCQ_M_R,Bareland,0,27,4,0,0,0,42,6,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCQ_M_R,Cropland,14,0,44,108,9,6,247,119,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCQ_M_R,Built-up,0,14,0,21,0,0,26,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCQ_M_R,Wetland,0,0,0,0,0,18,0,0,276,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCQ_M_R,Grassland,0,0,69,0,0,26,0,0,480,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCQ_M_R,Forest,0,0,162,0,0,77,0,0,910,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCQ_M_R,Water,0,0,259,0,0,0,0,0,231,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCQ_M_R,Shrubland,0,0,0,0,0,0,0,0,74,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCQ_M_R,Cropland,0,0,12,0,0,2,0,0,168,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCQ_M_R,Bareland,0,0,7,0,0,0,0,0,15,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCQ_M_R,Built-up,0,0,0,0,0,1,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCQ_M_R,Grassland,0,0,0,0,0,178,0,0,0,8
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCQ_M_R,Wetland,0,0,0,0,0,162,0,0,0,64
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCQ_M_R,Shrubland,0,0,0,0,0,8,0,0,0,2
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCQ_M_R,Cropland,0,0,0,0,0,15,0,0,0,1
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCQ_M_R,Water,0,0,0,0,0,0,0,0,0,127
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCQ_M_R,Forest,0,0,0,0,0,221,0,0,0,42
