Dataset,MajorityClass,Shrubland,Grassland,Wetland,Bareland,Forest,Water,Cropland,Built-up,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUU_M_R,Non_Wetland,3,4,1,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUU_M_R,Grassland,52,0,115,11,0,41,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUU_M_R,Wetland,39,125,0,0,3,32,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUU_M_R,Forest,207,335,140,2,0,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUU_M_R,Shrubland,0,21,7,1,1,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUU_M_R,Cropland,8,41,9,6,1,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUU_M_R,Water,2,32,19,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUU_M_R,Bareland,0,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUU_M_R,Non_Wetland,0,1,10,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUU_M_R,Shrubland,0,24,57,2,16,0,1,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUU_M_R,Grassland,0,0,256,4,86,4,6,5,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUU_M_R,Water,0,65,62,22,50,0,10,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUU_M_R,Wetland,0,92,0,3,38,20,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUU_M_R,Cropland,0,62,85,13,36,3,0,9,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUU_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUU_M_R,Bareland,0,12,10,0,13,0,0,2,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUU_M_R,Built-up,0,8,9,5,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUU_M_R,Forest,0,183,318,9,0,23,13,18,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUU_M_R,Shrubland,0,0,0,0,0,0,0,0,65,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUU_M_R,Grassland,0,0,60,0,0,26,0,0,361,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUU_M_R,Wetland,0,0,0,0,0,3,0,0,175,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUU_M_R,Cropland,0,0,1,0,0,6,0,0,97,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUU_M_R,Bareland,0,0,0,0,0,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUU_M_R,Built-up,0,0,0,0,0,1,0,0,9,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUU_M_R,Forest,0,0,95,0,0,53,0,0,401,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUU_M_R,Water,0,0,31,0,0,0,0,0,12,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUU_M_R,Non_Wetland,2,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUU_M_R,Grassland,31,0,61,0,9,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUU_M_R,Wetland,36,151,0,0,5,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUU_M_R,Forest,147,263,40,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUU_M_R,Shrubland,0,20,4,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUU_M_R,Cropland,2,40,4,0,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUU_M_R,Bareland,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUU_M_R,Water,0,46,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUU_M_R,Grassland,0,0,0,0,0,97,0,0,0,31,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUU_M_R,Shrubland,0,0,0,0,0,4,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUU_M_R,Wetland,0,0,0,0,0,56,0,0,0,30,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUU_M_R,Cropland,0,0,0,0,0,14,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUU_M_R,Water,0,0,0,0,0,0,0,0,0,58,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUU_M_R,Forest,0,0,0,0,0,50,0,0,0,21,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUU_M_R,Grassland,217,0,60,11,173,26,161,5,0,0,8
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUU_M_R,Wetland,62,1,0,0,38,3,40,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUU_M_R,Forest,165,53,95,10,0,53,145,13,0,0,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUU_M_R,Bareland,11,4,0,0,6,0,19,11,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUU_M_R,Shrubland,0,1,0,0,4,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUU_M_R,Cropland,43,16,1,1,36,6,0,6,0,0,2
