Dataset,MajorityClass,Grassland,Wetland,Forest,Bareland,Built-up,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18LXQ_M_R,Shrubland,2,3,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXQ_M_R,Grassland,0,9,15,3,1,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXQ_M_R,Cropland,27,0,17,2,3,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXQ_M_R,Wetland,46,0,41,3,0,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXQ_M_R,Bareland,19,0,26,0,0,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXQ_M_R,Built-up,11,0,9,4,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXQ_M_R,Water,88,14,85,54,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXQ_M_R,Forest,89,19,0,48,9,46,7,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXQ_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXQ_M_R,Grassland,0,7,0,0,0,2,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXQ_M_R,Forest,0,37,0,0,0,14,0,49,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXQ_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXQ_M_R,Water,0,42,0,0,0,0,0,16,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXQ_M_R,Cropland,0,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXQ_M_R,Wetland,0,0,0,0,0,2,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXQ_M_R,Bareland,0,13,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXQ_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXQ_M_R,Grassland,0,0,0,0,0,13,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXQ_M_R,Wetland,0,0,0,0,0,53,0,0,27,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXQ_M_R,Water,0,0,0,0,0,0,0,0,92,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXQ_M_R,Forest,0,0,0,0,0,86,0,0,51,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXQ_M_R,Bareland,0,0,0,0,0,41,0,0,29,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXQ_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXQ_M_R,Cropland,0,0,0,0,0,4,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXQ_M_R,Water,37,42,45,37,24,0,4,0,0,29,21,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXQ_M_R,Cropland,6,3,11,6,4,0,0,0,0,6,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXQ_M_R,Built-up,6,1,6,2,0,0,3,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXQ_M_R,Forest,34,37,0,35,27,14,17,0,0,35,18,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXQ_M_R,Grassland,0,7,16,4,2,2,3,0,0,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXQ_M_R,Wetland,1,0,6,2,0,2,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXQ_M_R,Bareland,14,13,12,0,13,6,2,0,0,9,5,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXQ_M_R,Grassland,0,1,22,1,8,9,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXQ_M_R,Forest,0,26,0,4,24,58,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXQ_M_R,Water,0,30,49,21,8,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXQ_M_R,Wetland,0,0,25,5,14,24,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXQ_M_R,Bareland,0,0,12,0,3,46,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXQ_M_R,Cropland,0,0,10,0,6,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXQ_M_R,Wetland,13,0,34,8,0,11,25,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXQ_M_R,Water,19,20,80,61,0,0,42,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXQ_M_R,Forest,12,8,0,16,0,18,21,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXQ_M_R,Grassland,0,2,7,3,0,2,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXQ_M_R,Bareland,0,0,4,0,0,1,3,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXQ_M_R,Built-up,0,0,3,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LXQ_M_R,Forest,4,0,0,0,0,1,0,0,0,0,0,0
