Dataset,MajorityClass,Grassland,Cropland,Built-up,Water,Forest,Bareland,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KHF_M_R,Shrubland,395,106,76,92,151,89,76,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHF_M_R,Grassland,0,174,76,37,178,70,40,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHF_M_R,Non_Wetland,13,0,0,1,8,0,16,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHF_M_R,Bareland,402,94,160,87,170,0,25,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHF_M_R,Built-up,257,124,0,14,152,98,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHF_M_R,Water,1479,388,31,0,630,519,338,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHF_M_R,Forest,1392,357,172,288,0,147,101,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHF_M_R,Cropland,804,0,259,75,463,249,48,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHF_M_R,Wetland,204,60,0,79,69,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHF_M_R,Non_Water,8,5,0,3,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHF_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHF_M_R,Non_Wetland,2,0,0,6,4,5,14,13,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHF_M_R,Shrubland,90,0,10,79,64,83,72,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHF_M_R,Grassland,0,0,37,135,188,100,114,229,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHF_M_R,Cropland,625,0,162,185,440,298,168,562,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHF_M_R,Wetland,36,0,0,114,39,35,0,87,0,0,0
