Dataset,MajorityClass,Wetland,Grassland,Bareland,Water,Forest,Shrubland,Cropland,Built-up,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBN_M_R,Non_Wetland,11,2,2,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBN_M_R,Grassland,174,0,38,20,51,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBN_M_R,Built-up,16,16,32,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBN_M_R,Forest,527,313,90,207,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBN_M_R,Water,525,100,8,0,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBN_M_R,Shrubland,13,6,6,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBN_M_R,Wetland,0,83,5,343,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBN_M_R,Cropland,114,223,24,3,77,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBN_M_R,Bareland,26,3,0,20,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBN_M_R,Non_Wetland,0,9,0,0,7,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBN_M_R,Grassland,2,0,4,0,136,0,54,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBN_M_R,Wetland,0,528,15,192,313,0,22,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBN_M_R,Built-up,0,52,12,0,28,0,12,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBN_M_R,Water,200,428,36,0,353,0,18,2,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBN_M_R,Forest,30,388,8,52,0,0,69,13,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBN_M_R,Shrubland,1,16,3,0,10,0,5,2,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBN_M_R,Cropland,0,243,47,4,167,0,0,17,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBN_M_R,Bareland,0,36,0,16,14,0,3,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBN_M_R,Non_Wetland,8,3,0,3,0,0,1,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBN_M_R,Wetland,0,294,0,386,11,0,41,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBN_M_R,Forest,436,466,28,176,0,0,99,81,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBN_M_R,Grassland,121,0,7,10,23,0,63,20,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBN_M_R,Water,410,244,0,0,28,0,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBN_M_R,Shrubland,10,12,0,4,0,0,7,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBN_M_R,Bareland,6,46,0,27,0,0,12,15,0,0,0
