Dataset,MajorityClass,Cropland,Forest,Built-up,Bareland,Water,Wetland,Grassland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KZP_M_R,Grassland,177,219,36,10,9,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZP_M_R,Non_Wetland,0,4,0,0,0,1,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZP_M_R,Bareland,10,20,4,0,8,0,41,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZP_M_R,Built-up,127,202,0,101,34,0,226,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZP_M_R,Forest,280,0,77,93,190,25,686,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZP_M_R,Cropland,0,477,170,179,108,1,636,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZP_M_R,Wetland,30,151,1,13,54,0,266,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZP_M_R,Shrubland,6,9,1,0,0,0,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZP_M_R,Water,157,541,34,189,0,32,498,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZP_M_R,Non_Wetland,0,0,0,0,0,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZP_M_R,Grassland,0,72,59,43,26,200,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZP_M_R,Forest,0,0,102,155,287,559,266,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZP_M_R,Wetland,0,15,0,8,62,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZP_M_R,Shrubland,0,2,2,4,0,4,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZP_M_R,Cropland,0,155,230,356,169,212,347,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZP_M_R,Built-up,0,39,0,150,38,4,76,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZP_M_R,Water,0,187,87,135,0,269,30,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZP_M_R,Bareland,0,1,6,0,19,2,1,0,0,0,0,0
