Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Water,Grassland,Cropland,Non_Wetland,Shrubland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NRL_M_R,Grassland,115,24,40,7,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRL_M_R,Cropland,15,0,10,1,2,39,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRL_M_R,Non_Wetland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRL_M_R,Wetland,135,0,59,0,48,230,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRL_M_R,Bareland,23,0,0,3,22,98,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRL_M_R,Built-up,36,0,25,0,4,69,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRL_M_R,Water,468,26,256,5,0,446,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRL_M_R,Shrubland,33,2,19,2,7,40,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRL_M_R,Forest,0,10,58,5,64,309,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRL_M_R,Permanent_ice_and_snow,10,0,8,0,3,13,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRL_M_R,Grassland,0,45,0,0,5,0,0,207,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRL_M_R,Wetland,0,0,0,0,4,0,0,164,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRL_M_R,Forest,0,154,0,0,44,0,0,316,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRL_M_R,Shrubland,0,0,0,0,0,0,0,38,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRL_M_R,Water,0,319,0,0,0,0,0,276,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRL_M_R,Built-up,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRL_M_R,Cropland,0,0,0,0,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRL_M_R,Bareland,0,11,0,0,8,0,0,21,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRL_M_R,Grassland,44,44,40,17,22,0,0,0,11,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRL_M_R,Non_Wetland,1,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRL_M_R,Built-up,0,0,26,0,0,26,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRL_M_R,Water,100,111,5,1,0,393,0,0,6,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRL_M_R,Shrubland,6,13,8,4,11,27,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRL_M_R,Wetland,12,0,4,0,34,132,0,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRL_M_R,Bareland,2,13,0,11,19,53,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRL_M_R,Forest,0,55,36,15,29,359,0,0,44,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRL_M_R,Cropland,2,2,1,0,2,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRL_M_R,Permanent_ice_and_snow,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRL_M_R,Forest,0,200,41,16,113,376,54,0,18,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRL_M_R,Grassland,8,100,63,26,35,0,62,0,2,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRL_M_R,Non_Wetland,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRL_M_R,Shrubland,1,23,16,4,16,28,15,0,0,0,0
