Dataset,MajorityClass,Wetland,Water,Bareland,Forest,Shrubland,Grassland,Cropland,Built-up,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFF_M_R,Non_Wetland,3,3,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFF_M_R,Grassland,407,312,36,48,42,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFF_M_R,Cropland,79,79,3,8,2,53,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFF_M_R,Wetland,0,1236,19,120,26,688,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFF_M_R,Shrubland,18,13,2,5,0,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFF_M_R,Forest,632,458,20,0,106,516,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFF_M_R,Water,446,0,3,61,0,376,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFF_M_R,Bareland,12,94,0,0,1,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFF_M_R,Built-up,22,9,7,2,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFF_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NFF_M_R,Non_Wetland,1,0,0,1,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NFF_M_R,Grassland,292,79,72,165,0,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NFF_M_R,Cropland,52,27,20,35,0,110,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NFF_M_R,Wetland,0,579,387,450,0,881,9,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NFF_M_R,Water,722,0,430,370,0,546,4,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NFF_M_R,Shrubland,17,1,1,23,0,26,2,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NFF_M_R,Bareland,13,24,0,6,0,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NFF_M_R,Built-up,0,0,3,21,0,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NFF_M_R,Forest,347,157,71,0,0,413,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NFF_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NFF_M_R,Grassland,196,47,0,0,0,0,0,0,921,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NFF_M_R,Wetland,0,101,0,0,0,0,0,0,1209,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NFF_M_R,Water,704,0,0,0,0,0,0,0,618,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NFF_M_R,Shrubland,0,0,0,0,0,0,0,0,57,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NFF_M_R,Forest,322,84,0,0,0,0,0,0,1165,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NFF_M_R,Bareland,50,2,0,0,0,0,0,0,17,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NFF_M_R,Built-up,0,0,0,0,0,0,0,0,42,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NFF_M_R,Cropland,49,1,0,0,0,0,0,0,147,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NFF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFF_M_R,Wetland,0,655,336,130,8,564,227,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFF_M_R,Grassland,472,83,102,32,1,0,126,0,0,0,0,0
