Dataset,MajorityClass,Forest,Built-up,Grassland,Bareland,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LRR_M_R,Grassland,53,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRR_M_R,Non_Wetland,3,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRR_M_R,Wetland,40,0,59,3,27,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRR_M_R,Bareland,6,0,10,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRR_M_R,Water,136,0,102,11,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRR_M_R,Shrubland,7,0,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRR_M_R,Cropland,13,2,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRR_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRR_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRR_M_R,Forest,0,1,93,2,112,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRR_M_R,Grassland,9,0,0,19,3,53,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRR_M_R,Non_Wetland,0,0,1,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRR_M_R,Bareland,2,0,3,0,8,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRR_M_R,Forest,0,0,145,40,137,259,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRR_M_R,Water,60,0,15,0,0,171,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRR_M_R,Shrubland,2,0,3,2,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRR_M_R,Cropland,0,0,13,1,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRR_M_R,Wetland,0,0,8,0,18,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRR_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRR_M_R,Built-up,0,0,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRR_M_R,Non_Wetland,0,0,3,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRR_M_R,Forest,0,0,220,121,129,64,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRR_M_R,Grassland,1,0,0,32,5,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRR_M_R,Water,30,0,110,66,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRR_M_R,Shrubland,0,0,9,7,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRR_M_R,Cropland,0,0,6,12,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRR_M_R,Wetland,3,0,56,15,27,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRR_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRR_M_R,Bareland,0,0,6,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRR_M_R,Built-up,0,0,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRR_M_R,Grassland,0,0,0,0,3,9,0,56,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRR_M_R,Wetland,0,0,0,0,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRR_M_R,Forest,0,0,0,0,33,126,0,274,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRR_M_R,Water,0,0,0,0,0,193,0,91,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRR_M_R,Shrubland,0,0,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRR_M_R,Bareland,0,0,0,0,0,5,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRR_M_R,Cropland,0,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRR_M_R,Grassland,0,0,0,0,22,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRR_M_R,Bareland,0,0,0,0,9,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRR_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0,0
