Dataset,MajorityClass,Grassland,Wetland,Bareland,Water,Built-up,Forest,Cropland,Non_Wetland,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRE_M_R,Non_Wetland,1,4,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRE_M_R,Shrubland,0,4,3,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRE_M_R,Grassland,0,15,13,3,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRE_M_R,Wetland,5,0,25,31,2,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRE_M_R,Bareland,2,10,0,12,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRE_M_R,Built-up,2,1,4,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRE_M_R,Water,5,28,32,0,3,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRE_M_R,Forest,20,42,36,34,6,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRE_M_R,Cropland,3,0,2,3,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRE_M_R,Non_Wetland,1,3,1,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRE_M_R,Grassland,0,9,12,1,0,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRE_M_R,Bareland,3,5,0,13,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRE_M_R,Built-up,2,0,10,1,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRE_M_R,Water,12,30,43,0,0,22,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRE_M_R,Shrubland,3,2,3,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRE_M_R,Wetland,8,0,29,29,0,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRE_M_R,Forest,29,39,53,35,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRE_M_R,Cropland,1,1,5,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRE_M_R,Wetland,0,0,0,0,0,0,0,52,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRE_M_R,Shrubland,0,0,0,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRE_M_R,Grassland,0,1,0,0,0,0,0,25,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRE_M_R,Bareland,0,4,0,1,0,0,0,28,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRE_M_R,Built-up,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRE_M_R,Forest,0,8,0,6,0,0,0,89,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRE_M_R,Water,0,8,0,0,0,0,0,38,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRE_M_R,Cropland,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRE_M_R,Wetland,2,0,6,0,1,2,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRE_M_R,Bareland,4,4,0,1,7,2,0,0,7,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRE_M_R,Water,5,8,10,0,4,8,0,0,11,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRE_M_R,Grassland,0,1,4,0,0,5,0,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRE_M_R,Cropland,1,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRE_M_R,Forest,17,8,18,6,15,0,2,0,26,6
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRE_M_R,Bareland,0,9,0,8,4,6,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRE_M_R,Grassland,0,2,0,2,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRE_M_R,Wetland,0,0,0,3,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRE_M_R,Water,0,6,2,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRE_M_R,Forest,0,14,0,13,1,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRE_M_R,Wetland,17,0,6,12,0,34,6,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRE_M_R,Bareland,9,5,0,11,0,19,8,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRE_M_R,Water,11,10,2,0,0,33,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRE_M_R,Forest,2,0,0,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRE_M_R,Built-up,1,0,0,0,0,1,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRE_M_R,Grassland,0,0,0,0,0,5,1,0,0,0
