Dataset,MajorityClass,Forest,Cropland,Wetland,Bareland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LKN_M_R,Grassland,202,31,99,16,15,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKN_M_R,Non_Wetland,11,0,2,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKN_M_R,Shrubland,13,0,12,2,1,1,45,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKN_M_R,Wetland,391,27,0,13,2,152,458,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKN_M_R,Bareland,15,1,3,0,3,7,38,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKN_M_R,Water,531,21,362,52,1,0,315,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKN_M_R,Cropland,57,0,2,4,16,0,61,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKN_M_R,Built-up,32,0,1,6,0,0,29,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKN_M_R,Forest,0,29,198,19,26,88,505,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKN_M_R,Permanent_ice_and_snow,2,0,0,1,0,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKN_M_R,Non_Wetland,4,0,5,2,0,3,3,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKN_M_R,Shrubland,8,0,7,4,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKN_M_R,Grassland,100,0,167,65,0,55,0,77,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKN_M_R,Wetland,75,0,0,21,0,245,122,29,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKN_M_R,Bareland,5,0,2,0,0,7,8,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKN_M_R,Water,95,0,386,37,0,0,116,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKN_M_R,Forest,0,0,454,77,0,218,291,91,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKN_M_R,Cropland,20,0,5,7,0,3,41,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKN_M_R,Built-up,9,0,3,15,0,1,6,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKN_M_R,Permanent_ice_and_snow,8,0,0,0,0,0,1,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKN_M_R,Grassland,4,0,278,101,0,35,0,49,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKN_M_R,Non_Wetland,0,0,17,1,0,0,4,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKN_M_R,Forest,0,1,764,152,0,220,497,61,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKN_M_R,Shrubland,0,0,20,4,0,2,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKN_M_R,Wetland,33,0,0,50,0,200,232,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKN_M_R,Cropland,0,0,24,16,0,0,47,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKN_M_R,Water,47,0,483,50,0,0,179,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKN_M_R,Bareland,0,0,9,0,0,3,4,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKN_M_R,Built-up,0,0,11,20,0,0,24,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKN_M_R,Permanent_ice_and_snow,0,0,1,8,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKN_M_R,Grassland,0,0,89,0,0,14,0,0,485,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKN_M_R,Wetland,0,0,0,0,0,44,0,0,459,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKN_M_R,Forest,0,0,288,0,0,126,0,0,1129,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKN_M_R,Shrubland,0,0,0,0,0,0,0,0,37,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKN_M_R,Cropland,0,0,0,0,0,0,0,0,31,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKN_M_R,Water,0,0,415,0,0,0,0,0,321,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKN_M_R,Bareland,0,0,21,0,0,0,0,0,13,0,0,0
