Dataset,MajorityClass,Grassland,Forest,Cropland,Built-up,Wetland,Bareland,Water,Shrubland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_20LRN_M_R,Shrubland,19,15,5,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRN_M_R,Grassland,0,48,31,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRN_M_R,Bareland,13,7,19,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRN_M_R,Non_Wetland,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRN_M_R,Water,5,75,1,0,14,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRN_M_R,Forest,106,0,11,7,7,3,45,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRN_M_R,Cropland,21,16,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRN_M_R,Wetland,2,13,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRN_M_R,Shrubland,11,9,0,0,3,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRN_M_R,Grassland,0,27,0,0,13,20,0,28,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRN_M_R,Bareland,11,3,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRN_M_R,Non_Wetland,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRN_M_R,Water,4,48,0,0,67,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRN_M_R,Forest,145,0,0,0,157,50,46,60,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRN_M_R,Cropland,54,8,0,0,2,2,0,0,0,0
