Dataset,MajorityClass,Grassland,Forest,Water,Bareland,Wetland,Non_Water,Shrubland,Cropland,Built-up,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NUC_M_R,Shrubland,3,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUC_M_R,Wetland,22,22,14,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUC_M_R,Forest,22,0,10,6,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUC_M_R,Water,33,31,0,18,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUC_M_R,Cropland,3,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUC_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUC_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUC_M_R,Wetland,0,0,19,0,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUC_M_R,Water,0,0,0,0,0,32,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUC_M_R,Grassland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUC_M_R,Forest,0,0,16,0,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUC_M_R,Wetland,0,4,4,0,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUC_M_R,Water,0,23,0,1,27,0,25,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUC_M_R,Forest,1,0,8,2,19,0,21,1,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUC_M_R,Grassland,0,3,0,0,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUC_M_R,Cropland,0,1,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUC_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUC_M_R,Wetland,0,0,4,0,0,0,0,0,0,13,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUC_M_R,Grassland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUC_M_R,Forest,0,0,8,0,19,0,0,0,0,20,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUC_M_R,Water,0,0,0,0,27,0,0,0,0,13,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUC_M_R,Wetland,0,4,14,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUC_M_R,Grassland,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUC_M_R,Forest,0,0,22,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUC_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUC_M_R,Water,0,11,0,1,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUC_M_R,Wetland,2,19,14,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUC_M_R,Forest,4,0,11,1,5,0,0,7,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUC_M_R,Water,0,31,0,1,18,0,0,11,0,0,0
