Dataset,MajorityClass,Forest,Cropland,Wetland,Bareland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KTB_M_R,Grassland,120,21,161,17,5,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTB_M_R,Non_Wetland,6,1,11,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTB_M_R,Shrubland,53,5,48,4,2,2,34,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTB_M_R,Wetland,84,7,0,5,2,31,132,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTB_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTB_M_R,Water,82,4,258,19,2,0,132,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTB_M_R,Cropland,113,0,96,13,6,7,138,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTB_M_R,Lichens_and_Mosses,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTB_M_R,Bareland,39,6,41,0,2,3,45,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTB_M_R,Built-up,15,0,11,5,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTB_M_R,Forest,0,16,256,12,15,19,169,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTB_M_R,Permanent_ice_and_snow,3,0,2,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KTB_M_R,Non_Wetland,0,0,4,1,0,0,4,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KTB_M_R,Shrubland,2,0,11,5,0,0,27,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KTB_M_R,Grassland,17,0,52,6,0,2,0,51,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KTB_M_R,Wetland,0,0,0,0,0,23,94,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KTB_M_R,Forest,0,0,83,65,0,4,249,174,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KTB_M_R,Water,0,0,40,0,0,0,63,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KTB_M_R,Cropland,11,0,35,5,0,0,95,47,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KTB_M_R,Bareland,0,0,12,0,0,1,21,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KTB_M_R,Built-up,0,0,0,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KTB_M_R,Non_Wetland,2,0,6,0,0,5,5,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KTB_M_R,Grassland,12,3,108,23,1,37,0,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KTB_M_R,Wetland,2,0,0,3,0,99,47,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KTB_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KTB_M_R,Shrubland,5,0,28,2,0,12,24,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KTB_M_R,Forest,0,0,208,18,2,16,272,208,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KTB_M_R,Cropland,10,0,49,8,0,34,142,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KTB_M_R,Bareland,3,0,19,0,0,25,16,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KTB_M_R,Built-up,0,0,5,5,0,0,12,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KTB_M_R,Water,0,0,89,4,0,0,19,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTB_M_R,Shrubland,0,0,0,0,0,0,0,0,79,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTB_M_R,Grassland,0,0,22,0,0,29,0,0,271,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTB_M_R,Wetland,0,0,0,0,0,31,0,0,311,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTB_M_R,Water,0,0,52,0,0,0,0,0,139,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTB_M_R,Forest,0,0,47,0,0,63,0,0,490,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTB_M_R,Cropland,0,0,4,0,0,6,0,0,169,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTB_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTB_M_R,Bareland,0,0,0,0,0,1,0,0,72,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTB_M_R,Built-up,0,0,0,0,0,0,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTB_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTB_M_R,Grassland,81,186,22,3,13,29,0,205,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTB_M_R,Wetland,62,56,0,9,3,31,7,113,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTB_M_R,Forest,0,211,47,17,11,63,89,261,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTB_M_R,Water,65,58,52,10,6,0,5,91,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTB_M_R,Shrubland,1,4,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTB_M_R,Bareland,21,55,0,0,4,1,6,50,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTB_M_R,Cropland,49,0,4,0,7,6,18,100,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTB_M_R,Built-up,3,17,0,0,0,0,3,9,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTB_M_R,Permanent_ice_and_snow,1,2,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTB_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTB_M_R,Grassland,0,0,0,0,0,31,0,0,0,0,12,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTB_M_R,Wetland,0,0,0,0,0,88,0,0,0,0,72,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTB_M_R,Cropland,0,0,0,0,0,15,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTB_M_R,Water,0,0,0,0,0,0,0,0,0,0,118,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTB_M_R,Forest,0,0,0,0,0,50,0,0,0,0,24,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTB_M_R,Bareland,0,0,0,0,0,7,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTB_M_R,Shrubland,9,23,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTB_M_R,Grassland,23,170,1,0,16,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTB_M_R,Wetland,57,72,0,0,3,51,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTB_M_R,Forest,0,137,24,0,32,39,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTB_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTB_M_R,Water,33,51,30,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTB_M_R,Bareland,6,21,0,0,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTB_M_R,Cropland,10,0,0,0,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTB_M_R,Wetland,134,23,0,61,0,66,93,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTB_M_R,Forest,0,25,15,41,0,18,30,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTB_M_R,Shrubland,35,8,0,11,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTB_M_R,Cropland,30,0,5,36,0,5,23,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTB_M_R,Bareland,2,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTB_M_R,Water,82,14,36,32,0,0,35,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTB_M_R,Grassland,75,28,4,27,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTB_M_R,Built-up,3,0,0,1,0,0,0,0,0,0,0,0
