Dataset,MajorityClass,Grassland,Wetland,Forest,Cropland,Water,Built-up,Bareland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20PQQ_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PQQ_M_R,Grassland,0,13,4,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PQQ_M_R,Cropland,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PQQ_M_R,Wetland,34,0,23,3,21,6,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PQQ_M_R,Built-up,8,5,5,0,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PQQ_M_R,Forest,33,47,0,2,14,12,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PQQ_M_R,Water,26,53,35,2,0,16,20,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PQQ_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQQ_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQQ_M_R,Grassland,0,6,0,0,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQQ_M_R,Cropland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQQ_M_R,Forest,0,35,0,0,10,0,0,47,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQQ_M_R,Built-up,0,5,0,0,1,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQQ_M_R,Water,0,51,0,0,0,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQQ_M_R,Wetland,0,0,0,0,3,0,0,21,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQQ_M_R,Bareland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PQQ_M_R,Wetland,0,0,0,0,32,0,0,0,40,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PQQ_M_R,Built-up,0,0,0,0,5,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PQQ_M_R,Water,0,0,0,0,0,0,0,0,58,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PQQ_M_R,Grassland,0,0,0,0,3,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PQQ_M_R,Bareland,0,0,0,0,1,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PQQ_M_R,Forest,0,0,0,0,18,0,0,0,19,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PQQ_M_R,Water,0,10,33,0,0,5,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PQQ_M_R,Wetland,0,0,46,0,50,7,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PQQ_M_R,Forest,0,6,0,0,32,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PQQ_M_R,Built-up,0,0,3,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PQQ_M_R,Grassland,0,1,12,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PQQ_M_R,Bareland,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQQ_M_R,Built-up,2,5,3,4,1,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQQ_M_R,Water,3,71,18,9,0,29,5,0,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQQ_M_R,Forest,10,45,0,14,19,23,3,0,0,29,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQQ_M_R,Grassland,0,6,8,7,0,2,0,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQQ_M_R,Wetland,3,0,8,4,3,2,0,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQQ_M_R,Bareland,0,2,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PQQ_M_R,Wetland,21,0,37,10,22,0,7,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PQQ_M_R,Forest,9,4,0,6,10,0,2,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PQQ_M_R,Water,12,11,54,6,0,0,8,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PQQ_M_R,Built-up,0,0,4,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PQQ_M_R,Grassland,0,0,2,0,1,0,0,0,0,0,0
