Dataset,MajorityClass,Built-up,Forest,Shrubland,Water,Grassland,Wetland,Cropland,Lichens_and_Mosses,Bareland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZE_M_R,Wetland,2,2,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZE_M_R,Bareland,0,2,0,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZE_M_R,Built-up,0,1,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZE_M_R,Water,3,4,4,0,4,1,2,1,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZE_M_R,Forest,5,0,6,1,6,1,3,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZE_M_R,Grassland,0,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZE_M_R,Wetland,0,0,0,1,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZE_M_R,Bareland,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZE_M_R,Water,0,0,0,0,0,1,0,0,0,4,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZE_M_R,Forest,0,0,0,1,0,1,0,0,0,6,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZE_M_R,Water,0,0,0,0,0,7,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZE_M_R,Grassland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZE_M_R,Wetland,1,0,0,2,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZE_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZE_M_R,Forest,4,0,0,7,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZE_M_R,Forest,0,0,0,0,1,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZE_M_R,Water,0,3,0,0,0,1,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZE_M_R,Wetland,0,4,0,3,0,0,0,0,2,0,0
