Dataset,MajorityClass,Forest,Built-up,Bareland,Wetland,Water,Grassland,Shrubland,Non_Wetland,Cropland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_20NRF_M_R,Grassland,123,21,12,13,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRF_M_R,Wetland,79,0,7,0,50,145,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRF_M_R,Shrubland,14,5,1,1,0,40,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRF_M_R,Bareland,19,8,0,0,2,47,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRF_M_R,Forest,0,15,7,6,82,248,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRF_M_R,Built-up,31,0,4,0,0,44,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRF_M_R,Water,231,0,55,41,0,251,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRF_M_R,Cropland,17,5,0,0,0,22,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRF_M_R,Grassland,50,3,73,57,17,0,42,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRF_M_R,Forest,0,6,94,243,104,320,50,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRF_M_R,Shrubland,6,0,6,4,1,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRF_M_R,Bareland,3,3,0,4,6,36,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRF_M_R,Wetland,29,0,9,0,35,93,16,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRF_M_R,Built-up,6,0,26,0,0,25,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRF_M_R,Water,99,0,24,196,0,186,21,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRF_M_R,Cropland,2,0,10,5,0,25,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRF_M_R,Wetland,0,0,0,0,7,0,0,57,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRF_M_R,Shrubland,0,0,0,0,0,0,0,20,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRF_M_R,Grassland,0,0,0,57,18,0,0,165,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRF_M_R,Forest,0,0,0,155,48,0,0,347,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRF_M_R,Cropland,0,0,0,1,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRF_M_R,Bareland,0,0,0,4,1,0,0,8,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRF_M_R,Built-up,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRF_M_R,Water,0,0,0,207,0,0,0,188,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRF_M_R,Grassland,23,15,101,115,30,0,30,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRF_M_R,Shrubland,1,0,13,15,2,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRF_M_R,Forest,0,19,145,192,131,299,19,0,1,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRF_M_R,Wetland,9,0,5,0,72,43,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRF_M_R,Built-up,0,0,27,2,1,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRF_M_R,Water,27,0,43,224,0,77,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRF_M_R,Cropland,0,1,17,6,0,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRF_M_R,Bareland,0,4,0,1,1,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRF_M_R,Grassland,184,43,1,57,18,0,252,0,47,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRF_M_R,Forest,0,45,25,155,48,61,235,0,27,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRF_M_R,Wetland,18,0,0,0,7,6,32,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRF_M_R,Bareland,22,4,0,4,1,7,52,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRF_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRF_M_R,Cropland,11,1,0,1,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRF_M_R,Water,158,4,21,207,0,12,170,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRF_M_R,Built-up,21,0,0,0,0,7,36,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRF_M_R,Grassland,0,0,0,0,37,0,0,0,0,13
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRF_M_R,Wetland,0,0,0,0,41,0,0,0,0,47
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRF_M_R,Bareland,0,0,0,0,5,0,0,0,0,1
