Dataset,MajorityClass,Shrubland,Bareland,Water,Forest,Wetland,Built-up,Grassland,Cropland,Non_Wetland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFE_M_R,Grassland,13,27,40,24,97,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFE_M_R,Non_Wetland,1,1,1,1,3,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFE_M_R,Bareland,1,0,58,3,52,2,32,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFE_M_R,Shrubland,0,1,3,2,5,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFE_M_R,Wetland,13,55,185,32,0,26,87,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFE_M_R,Lichens_and_Mosses,0,0,2,0,1,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFE_M_R,Built-up,9,25,23,2,29,0,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFE_M_R,Water,4,12,0,28,165,20,51,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFE_M_R,Forest,45,45,82,0,188,4,120,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFE_M_R,Cropland,4,9,28,10,63,6,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFE_M_R,Permanent_ice_and_snow,0,0,0,0,11,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFE_M_R,Non_Wetland,0,1,1,0,5,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFE_M_R,Shrubland,0,3,1,0,8,1,4,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFE_M_R,Grassland,0,53,16,13,94,5,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFE_M_R,Wetland,1,136,95,19,0,17,120,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFE_M_R,Lichens_and_Mosses,0,1,0,0,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFE_M_R,Bareland,0,0,17,0,43,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFE_M_R,Built-up,0,34,4,6,30,0,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFE_M_R,Water,0,107,0,27,156,17,58,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFE_M_R,Forest,3,112,31,0,153,3,121,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFE_M_R,Cropland,0,42,8,1,56,10,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFE_M_R,Permanent_ice_and_snow,0,3,0,0,5,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFE_M_R,Wetland,0,0,20,0,0,0,0,0,345,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFE_M_R,Shrubland,0,0,0,0,0,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFE_M_R,Grassland,0,0,3,0,16,0,0,0,194,0,0
