Dataset,MajorityClass,Grassland,Forest,Bareland,Built-up,Water,Wetland,Non_Water,Cropland,Shrubland,Lichens_and_Mosses,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_18LYP_M_R,Shrubland,2,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYP_M_R,Grassland,0,3,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYP_M_R,Cropland,8,4,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYP_M_R,Wetland,4,3,4,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYP_M_R,Built-up,6,7,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYP_M_R,Forest,38,0,23,1,20,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYP_M_R,Water,5,28,16,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYP_M_R,Bareland,11,2,0,0,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LYP_M_R,Wetland,0,0,0,0,3,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LYP_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LYP_M_R,Water,0,0,0,0,0,0,34,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LYP_M_R,Forest,0,0,0,0,33,0,18,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LYP_M_R,Grassland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LYP_M_R,Bareland,0,0,0,0,16,0,11,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LYP_M_R,Grassland,0,5,0,3,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LYP_M_R,Forest,0,0,1,10,32,0,0,5,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LYP_M_R,Wetland,0,1,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LYP_M_R,Cropland,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LYP_M_R,Water,0,11,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LYP_M_R,Bareland,0,1,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LYP_M_R,Cropland,4,5,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LYP_M_R,Built-up,4,3,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LYP_M_R,Water,7,18,7,4,0,21,0,2,20,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LYP_M_R,Forest,21,0,9,10,8,16,0,7,29,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LYP_M_R,Grassland,0,3,1,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LYP_M_R,Bareland,1,4,0,13,0,9,0,1,13,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LYP_M_R,Forest,0,0,0,0,8,16,0,0,0,0,1
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LYP_M_R,Bareland,0,0,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LYP_M_R,Water,0,0,0,0,0,21,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LYP_M_R,Forest,3,0,1,0,9,0,0,7,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LYP_M_R,Wetland,0,7,2,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LYP_M_R,Water,0,30,12,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LYP_M_R,Grassland,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LYP_M_R,Bareland,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LYP_M_R,Forest,1,0,0,0,0,0,0,0,0,0,0
