Dataset,MajorityClass,Wetland,Grassland,Bareland,Water,Forest,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVR_M_R,Non_Wetland,7,2,2,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVR_M_R,Grassland,80,0,56,21,40,7,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVR_M_R,Bareland,7,11,0,11,12,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVR_M_R,Forest,381,210,144,275,0,21,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVR_M_R,Water,314,104,87,0,145,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVR_M_R,Shrubland,4,4,4,6,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVR_M_R,Wetland,0,85,72,200,43,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVR_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVR_M_R,Built-up,13,10,20,7,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVR_M_R,Cropland,0,1,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVR_M_R,Permanent_ice_and_snow,1,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVR_M_R,Non_Wetland,0,7,0,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVR_M_R,Grassland,1,0,1,0,72,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVR_M_R,Wetland,0,354,0,55,248,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVR_M_R,Bareland,0,64,0,0,23,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVR_M_R,Forest,40,371,1,35,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVR_M_R,Water,211,425,19,0,438,0,0,0,0,0,0,0
