Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Water,Wetland,Built-up,Non_Water,Non_Wetland,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_19NCF_M_R,Shrubland,3,1,2,2,1,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCF_M_R,Grassland,0,5,15,22,2,18,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCF_M_R,Cropland,42,0,3,11,3,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCF_M_R,Wetland,106,0,32,44,41,0,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCF_M_R,Bareland,42,1,0,7,12,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCF_M_R,Built-up,7,0,3,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCF_M_R,Water,143,0,70,67,0,53,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCF_M_R,Forest,80,2,34,0,19,12,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCF_M_R,Shrubland,0,0,0,0,3,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCF_M_R,Grassland,0,0,0,0,58,0,0,17,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCF_M_R,Cropland,0,0,0,0,14,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCF_M_R,Wetland,0,0,0,0,121,0,0,47,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCF_M_R,Bareland,0,0,0,0,62,0,0,15,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCF_M_R,Water,0,0,0,0,0,0,0,102,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCF_M_R,Forest,0,0,0,0,71,0,0,28,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCF_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCF_M_R,Grassland,0,0,0,0,6,14,0,0,51,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCF_M_R,Forest,0,0,0,0,12,30,0,0,56,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCF_M_R,Cropland,0,0,0,0,0,5,0,0,7,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCF_M_R,Wetland,0,0,0,0,9,0,0,0,78,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCF_M_R,Bareland,0,0,0,0,4,27,0,0,7,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCF_M_R,Water,0,0,0,0,0,54,0,0,52,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCF_M_R,Water,59,15,32,53,0,54,9,0,0,49
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCF_M_R,Cropland,14,0,9,7,0,5,4,0,0,13
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCF_M_R,Wetland,23,2,2,33,9,0,0,0,0,13
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCF_M_R,Bareland,7,3,0,12,4,27,3,0,0,21
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCF_M_R,Built-up,3,2,3,1,0,0,0,0,0,4
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCF_M_R,Forest,46,22,26,0,12,30,13,0,0,54
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCF_M_R,Grassland,0,16,12,24,6,14,6,0,0,33
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCF_M_R,Grassland,0,46,4,31,29,27,5,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCF_M_R,Wetland,0,39,20,28,43,0,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCF_M_R,Water,0,41,37,22,0,51,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCF_M_R,Forest,0,24,3,0,37,43,7,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCF_M_R,Bareland,0,16,0,2,13,0,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCF_M_R,Built-up,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCF_M_R,Cropland,0,0,0,4,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCF_M_R,Water,24,12,27,61,0,27,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCF_M_R,Cropland,3,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCF_M_R,Wetland,36,21,23,51,46,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCF_M_R,Bareland,7,5,0,4,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCF_M_R,Forest,19,10,4,0,18,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCF_M_R,Built-up,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCF_M_R,Grassland,0,9,9,12,9,9,0,0,0,0
