Dataset,MajorityClass,Forest,Cropland,Water,Built-up,Bareland,Grassland,Wetland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LEL_M_R,Grassland,246,8,55,26,32,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEL_M_R,Forest,0,8,247,24,34,690,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEL_M_R,Non_Wetland,2,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEL_M_R,Wetland,89,3,76,0,5,159,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEL_M_R,Bareland,63,2,60,10,0,174,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEL_M_R,Water,498,2,0,0,155,794,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEL_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEL_M_R,Cropland,62,0,5,14,5,94,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEL_M_R,Built-up,82,0,11,0,10,130,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEL_M_R,Permanent_ice_and_snow,2,0,2,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEL_M_R,Grassland,0,0,57,0,0,0,91,308,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEL_M_R,Wetland,0,0,0,0,0,0,0,42,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEL_M_R,Cropland,0,0,1,0,0,0,0,29,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEL_M_R,Water,0,0,0,0,0,0,363,233,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEL_M_R,Forest,0,0,118,0,0,0,278,677,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEL_M_R,Bareland,0,0,16,0,0,0,52,63,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEL_M_R,Built-up,0,0,10,0,0,0,6,33,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEL_M_R,Grassland,61,0,142,3,184,0,186,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEL_M_R,Non_Wetland,1,0,1,0,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEL_M_R,Bareland,9,0,86,1,0,95,55,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEL_M_R,Water,218,0,0,3,247,478,381,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEL_M_R,Forest,0,0,407,34,259,521,497,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEL_M_R,Shrubland,0,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEL_M_R,Cropland,12,0,15,1,58,78,23,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEL_M_R,Wetland,11,0,58,0,27,42,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEL_M_R,Built-up,10,0,11,0,101,54,27,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEL_M_R,Permanent_ice_and_snow,0,0,1,0,0,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEL_M_R,Non_Wetland,0,0,0,0,1,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEL_M_R,Forest,0,1,289,22,561,623,302,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEL_M_R,Grassland,16,0,118,10,284,0,73,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEL_M_R,Water,37,1,0,56,604,538,72,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEL_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEL_M_R,Cropland,0,0,22,5,95,59,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEL_M_R,Built-up,1,0,23,0,105,57,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEL_M_R,Bareland,0,0,61,3,0,18,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEL_M_R,Wetland,6,0,55,0,83,85,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEL_M_R,Permanent_ice_and_snow,0,0,0,0,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEL_M_R,Grassland,0,0,156,0,0,0,0,0,0,73,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEL_M_R,Water,0,0,0,0,0,0,0,0,0,401,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEL_M_R,Cropland,0,0,8,0,0,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEL_M_R,Bareland,0,0,76,0,0,0,0,0,0,64,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEL_M_R,Wetland,0,0,84,0,0,0,0,0,0,63,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEL_M_R,Built-up,0,0,19,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEL_M_R,Forest,0,0,441,0,0,0,0,0,0,236,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEL_M_R,Grassland,251,275,57,149,102,0,91,0,56,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEL_M_R,Forest,0,295,118,166,228,150,278,0,77,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEL_M_R,Bareland,33,95,16,48,0,13,52,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEL_M_R,Water,274,295,0,159,242,136,363,0,38,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEL_M_R,Built-up,32,53,10,0,4,20,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEL_M_R,Cropland,16,0,1,16,1,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEL_M_R,Wetland,7,11,0,8,4,1,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEL_M_R,Permanent_ice_and_snow,0,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEL_M_R,Grassland,163,172,185,106,1,0,56,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEL_M_R,Bareland,31,15,56,47,0,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEL_M_R,Forest,0,61,356,147,2,0,26,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEL_M_R,Water,213,49,0,77,72,0,57,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEL_M_R,Built-up,2,7,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEL_M_R,Wetland,74,0,71,7,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEL_M_R,Cropland,9,0,6,11,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEL_M_R,Permanent_ice_and_snow,1,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEL_M_R,Wetland,159,20,21,0,24,32,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEL_M_R,Forest,0,52,34,0,6,53,5,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEL_M_R,Bareland,43,16,21,0,0,9,6,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEL_M_R,Water,662,51,0,0,211,109,20,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEL_M_R,Built-up,50,18,8,0,4,3,1,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEL_M_R,Grassland,217,77,75,0,20,0,31,0,0,0,0,25
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEL_M_R,Cropland,8,0,4,0,1,0,0,0,0,0,0,1
