Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Non_Water,Non_Wetland,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18NVH_M_R,Shrubland,3,2,3,1,1,3,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVH_M_R,Grassland,0,20,34,15,17,42,11,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVH_M_R,Cropland,83,0,34,14,18,48,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVH_M_R,Wetland,109,14,27,3,58,72,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVH_M_R,Bareland,95,23,0,6,41,65,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVH_M_R,Built-up,21,7,20,0,5,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVH_M_R,Water,227,55,137,21,0,173,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVH_M_R,Forest,115,41,77,30,52,0,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVH_M_R,Permanent_ice_and_snow,4,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVH_M_R,Shrubland,0,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVH_M_R,Grassland,0,0,0,0,87,0,0,28,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVH_M_R,Cropland,0,0,0,0,42,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVH_M_R,Wetland,0,0,0,0,94,0,0,32,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVH_M_R,Bareland,0,0,0,0,92,0,0,44,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVH_M_R,Built-up,0,0,0,0,19,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVH_M_R,Water,0,0,0,0,0,0,0,171,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVH_M_R,Forest,0,0,0,0,123,0,0,61,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVH_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVH_M_R,Forest,0,0,0,0,19,0,32,0,77,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVH_M_R,Wetland,0,0,0,0,3,0,0,0,120,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVH_M_R,Grassland,0,0,0,0,10,0,11,0,61,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVH_M_R,Bareland,0,0,0,0,14,0,22,0,12,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVH_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVH_M_R,Water,0,0,0,0,0,0,55,0,82,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVH_M_R,Cropland,0,0,0,0,4,0,6,0,16,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVH_M_R,Water,98,59,49,41,0,102,55,0,0,128,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVH_M_R,Cropland,39,0,22,14,4,43,6,0,0,60,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVH_M_R,Wetland,22,9,5,2,3,28,0,0,0,41,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVH_M_R,Bareland,44,31,0,37,14,46,22,0,0,63,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVH_M_R,Built-up,11,7,5,0,1,13,0,0,0,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVH_M_R,Forest,65,45,40,35,19,0,32,0,0,105,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVH_M_R,Grassland,0,20,15,11,10,37,11,0,0,60,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVH_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,4,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVH_M_R,Grassland,0,58,20,28,46,33,45,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVH_M_R,Water,0,97,81,77,0,51,90,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVH_M_R,Wetland,0,28,13,18,44,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVH_M_R,Bareland,0,42,0,42,59,15,9,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVH_M_R,Built-up,0,2,2,0,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVH_M_R,Forest,0,69,28,45,64,0,56,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVH_M_R,Cropland,0,0,1,19,20,14,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVH_M_R,Permanent_ice_and_snow,0,0,0,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVH_M_R,Water,62,30,82,0,0,97,47,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVH_M_R,Cropland,14,0,8,0,11,8,10,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVH_M_R,Wetland,28,7,19,0,26,36,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVH_M_R,Bareland,7,3,0,0,20,15,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVH_M_R,Built-up,5,7,6,0,7,8,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVH_M_R,Forest,30,17,23,0,32,0,16,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVH_M_R,Grassland,0,9,11,0,11,16,8,0,0,0,0
