Dataset,MajorityClass,Forest,Grassland,Water,Built-up,Wetland,Cropland,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MWP_M_R,Bareland,426,443,203,6,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWP_M_R,Grassland,66,0,1,4,0,9,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWP_M_R,Non_Wetland,2,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWP_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWP_M_R,Water,320,154,0,1,1,0,96,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWP_M_R,Shrubland,3,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWP_M_R,Cropland,20,15,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWP_M_R,Wetland,110,83,61,1,0,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWP_M_R,Built-up,16,23,1,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWP_M_R,Forest,0,202,117,9,2,1,50,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWP_M_R,Permanent_ice_and_snow,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWP_M_R,Grassland,20,0,3,0,4,0,139,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWP_M_R,Non_Wetland,0,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWP_M_R,Bareland,24,11,12,0,32,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWP_M_R,Forest,0,149,74,0,176,0,688,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWP_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWP_M_R,Water,96,21,0,0,122,0,697,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWP_M_R,Shrubland,1,1,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWP_M_R,Cropland,1,14,0,0,3,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWP_M_R,Wetland,3,10,1,0,0,0,202,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWP_M_R,Built-up,2,1,0,0,1,0,54,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWP_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWP_M_R,Grassland,0,0,0,0,13,0,0,0,27,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWP_M_R,Cropland,0,0,0,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWP_M_R,Bareland,0,0,77,0,185,0,0,0,357,0,0,0
