Dataset,MajorityClass,Forest,Grassland,Water,Built-up,Wetland,Cropland,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWP_M_R,Built-up,0,0,0,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWP_M_R,Forest,0,0,58,0,189,0,0,0,240,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWP_M_R,Water,0,0,0,0,211,0,0,0,131,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWP_M_R,Wetland,0,0,0,0,0,0,0,0,42,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWP_M_R,Non_Wetland,0,1,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWP_M_R,Bareland,15,36,88,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWP_M_R,Forest,0,239,123,21,0,1,580,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWP_M_R,Grassland,5,0,1,1,0,0,119,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWP_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWP_M_R,Water,20,15,0,0,0,0,585,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWP_M_R,Shrubland,0,1,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWP_M_R,Cropland,0,16,0,1,0,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWP_M_R,Wetland,7,11,27,0,0,0,227,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWP_M_R,Built-up,0,4,0,0,0,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWP_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWP_M_R,Bareland,0,0,479,0,0,0,0,0,0,136,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWP_M_R,Grassland,0,0,32,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWP_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWP_M_R,Wetland,0,0,76,0,0,0,0,0,0,29,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWP_M_R,Water,0,0,0,0,0,0,0,0,0,159,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWP_M_R,Forest,0,0,178,0,0,0,0,0,0,107,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWP_M_R,Built-up,0,0,2,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWP_M_R,Grassland,37,0,0,18,13,40,11,35,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWP_M_R,Forest,0,102,58,64,189,102,118,139,0,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWP_M_R,Bareland,153,128,77,180,185,202,0,196,0,0,21,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWP_M_R,Water,91,39,0,46,211,52,87,67,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWP_M_R,Cropland,3,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWP_M_R,Wetland,7,5,0,7,0,5,2,8,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWP_M_R,Built-up,2,3,0,0,0,7,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWP_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWP_M_R,Grassland,35,0,17,13,21,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWP_M_R,Bareland,194,0,325,149,299,22,0,0,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWP_M_R,Forest,0,0,280,46,98,16,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWP_M_R,Water,76,0,0,27,113,2,50,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWP_M_R,Built-up,1,0,1,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWP_M_R,Wetland,24,0,47,18,0,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWP_M_R,Cropland,0,0,1,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWP_M_R,Bareland,304,42,203,0,81,39,0,0,0,0,0,41
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWP_M_R,Forest,0,12,53,0,9,21,51,0,0,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWP_M_R,Water,277,13,0,0,30,6,86,0,0,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWP_M_R,Wetland,87,10,48,0,0,7,13,0,0,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWP_M_R,Grassland,59,0,9,0,2,21,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWP_M_R,Built-up,13,0,2,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWP_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWP_M_R,Cropland,2,0,0,0,0,0,0,0,0,0,0,0
