Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Cropland
AMAZON_EXTENSION_2024_WorldCover_2021_19NDE_M_R,Shrubland,3,2,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDE_M_R,Grassland,0,16,1,2,16,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDE_M_R,Cropland,26,3,0,0,6,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDE_M_R,Wetland,78,0,1,0,31,34,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDE_M_R,Bareland,42,0,0,2,12,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDE_M_R,Built-up,11,0,4,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDE_M_R,Water,116,52,41,1,71,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDE_M_R,Forest,76,31,14,2,0,25,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDE_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDE_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDE_M_R,Grassland,0,11,0,0,0,4,44,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDE_M_R,Cropland,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDE_M_R,Forest,0,29,0,0,0,16,55,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDE_M_R,Wetland,0,0,0,0,0,7,44,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDE_M_R,Bareland,0,18,0,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDE_M_R,Water,0,50,0,0,0,0,28,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDE_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDE_M_R,Grassland,0,0,0,0,0,43,0,13,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDE_M_R,Cropland,0,0,0,0,0,5,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDE_M_R,Wetland,0,0,0,0,0,78,0,28,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDE_M_R,Water,0,0,0,0,0,0,0,88,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDE_M_R,Forest,0,0,0,0,0,78,0,31,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDE_M_R,Bareland,0,0,0,0,0,31,0,18,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDE_M_R,Built-up,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDE_M_R,Water,54,50,6,1,43,0,0,0,55,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDE_M_R,Cropland,6,0,3,3,6,0,0,0,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDE_M_R,Wetland,20,0,0,1,17,7,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDE_M_R,Bareland,16,18,0,4,2,10,0,0,32,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDE_M_R,Built-up,6,0,4,0,3,0,0,0,8,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDE_M_R,Forest,52,29,15,12,0,16,0,0,52,16
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDE_M_R,Grassland,0,11,4,5,17,4,0,0,14,4
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDE_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDE_M_R,Grassland,0,25,6,13,29,21,0,0,0,18
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDE_M_R,Wetland,0,0,14,2,30,27,0,0,0,6
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDE_M_R,Forest,0,28,8,22,0,40,0,0,0,9
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDE_M_R,Water,0,34,48,14,55,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDE_M_R,Cropland,0,0,1,2,4,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDE_M_R,Bareland,0,0,0,2,11,15,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDE_M_R,Water,24,8,40,0,69,0,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDE_M_R,Wetland,26,0,12,0,43,37,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDE_M_R,Forest,12,3,11,0,0,15,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDE_M_R,Built-up,1,0,1,0,3,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDE_M_R,Grassland,0,6,11,0,15,10,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDE_M_R,Bareland,0,0,0,0,5,5,0,0,0,1
