Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Water,Bareland,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LDJ_M_R,Shrubland,342,213,18,142,64,38,25,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDJ_M_R,Grassland,0,294,100,182,72,80,31,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDJ_M_R,Non_Wetland,15,8,2,24,3,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDJ_M_R,Bareland,244,56,34,19,185,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDJ_M_R,Water,1112,865,33,825,0,169,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDJ_M_R,Forest,1206,0,77,497,593,108,41,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDJ_M_R,Cropland,449,260,0,44,25,99,55,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDJ_M_R,Wetland,878,457,34,0,428,68,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDJ_M_R,Non_Water,1,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDJ_M_R,Built-up,152,150,13,0,28,40,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDJ_M_R,Permanent_ice_and_snow,3,1,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDJ_M_R,Non_Wetland,8,7,0,23,7,1,0,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDJ_M_R,Shrubland,105,44,0,113,48,19,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDJ_M_R,Grassland,0,136,0,355,141,49,14,360,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDJ_M_R,Cropland,455,123,0,111,57,85,18,234,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDJ_M_R,Wetland,367,270,0,0,627,55,0,704,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDJ_M_R,Bareland,235,39,0,47,136,0,4,89,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDJ_M_R,Forest,742,0,0,829,699,295,27,1394,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDJ_M_R,Non_Water,1,0,0,0,4,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDJ_M_R,Water,566,424,0,614,0,90,31,873,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDJ_M_R,Built-up,105,12,0,31,11,59,0,91,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDJ_M_R,Permanent_ice_and_snow,2,0,0,0,2,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDJ_M_R,Wetland,0,0,0,0,181,0,0,0,1635,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDJ_M_R,Shrubland,0,0,0,0,0,0,0,0,432,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDJ_M_R,Grassland,0,0,0,152,92,0,0,0,847,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDJ_M_R,Water,0,0,0,754,0,0,0,0,1047,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDJ_M_R,Forest,0,0,0,648,250,0,0,0,1894,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDJ_M_R,Bareland,0,0,0,174,30,0,0,0,81,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDJ_M_R,Cropland,0,0,0,2,1,0,0,0,260,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDJ_M_R,Built-up,0,0,0,2,11,0,0,0,34,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDJ_M_R,Non_Wetland,9,3,0,19,2,14,0,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDJ_M_R,Grassland,0,47,66,257,42,326,15,369,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDJ_M_R,Wetland,452,127,2,0,233,743,3,895,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDJ_M_R,Forest,858,0,39,639,216,1125,36,1408,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDJ_M_R,Water,533,361,3,567,0,1265,52,1141,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDJ_M_R,Non_Water,1,0,0,0,0,4,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDJ_M_R,Shrubland,106,19,6,88,6,125,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDJ_M_R,Bareland,70,2,6,10,12,0,6,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDJ_M_R,Built-up,110,9,0,3,1,177,0,75,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDJ_M_R,Cropland,395,21,0,86,12,337,14,184,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDJ_M_R,Permanent_ice_and_snow,1,0,0,0,0,4,1,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDJ_M_R,Grassland,0,0,0,0,245,0,0,0,0,125,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDJ_M_R,Water,0,0,0,0,0,0,0,0,0,1093,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDJ_M_R,Bareland,0,0,0,0,158,0,0,0,0,164,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDJ_M_R,Wetland,0,0,0,0,723,0,0,0,0,507,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDJ_M_R,Shrubland,0,0,0,0,92,0,0,0,0,43,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDJ_M_R,Forest,0,0,0,0,769,0,0,0,0,604,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDJ_M_R,Cropland,0,0,0,0,28,0,0,0,0,37,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDJ_M_R,Built-up,0,0,0,0,17,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDJ_M_R,Grassland,0,359,709,152,92,46,102,681,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDJ_M_R,Wetland,2,505,217,0,181,34,3,452,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDJ_M_R,Bareland,4,37,361,174,30,0,65,183,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDJ_M_R,Built-up,13,23,147,2,11,1,0,105,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDJ_M_R,Forest,241,0,1080,648,250,121,166,960,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDJ_M_R,Water,29,553,814,754,0,147,57,692,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDJ_M_R,Cropland,49,85,0,2,1,0,37,203,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDJ_M_R,Shrubland,14,40,63,0,0,5,8,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDJ_M_R,Permanent_ice_and_snow,0,0,3,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDJ_M_R,Grassland,0,265,585,112,151,29,125,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDJ_M_R,Forest,0,0,412,421,688,12,296,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDJ_M_R,Shrubland,0,93,138,50,87,0,76,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDJ_M_R,Wetland,0,300,280,0,382,12,12,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDJ_M_R,Bareland,0,94,88,10,77,0,73,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDJ_M_R,Water,0,219,144,358,0,92,68,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDJ_M_R,Built-up,0,3,8,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDJ_M_R,Cropland,0,43,0,4,7,17,40,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDJ_M_R,Wetland,307,940,101,0,342,104,0,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDJ_M_R,Forest,142,0,88,85,155,39,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDJ_M_R,Shrubland,111,280,50,82,82,32,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDJ_M_R,Cropland,83,125,0,25,32,91,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDJ_M_R,Bareland,20,102,30,1,18,0,0,0,0,0,0,16
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDJ_M_R,Water,134,1005,36,324,0,186,0,0,0,0,0,12
