Dataset,MajorityClass,Water,Forest,Wetland,Shrubland,Grassland,Cropland,Bareland,Permanent_ice_and_snow,Non_Water,Non_Wetland
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDL_M_R,Wetland,30,18,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDL_M_R,Grassland,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDL_M_R,Water,0,4,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDL_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDL_M_R,Forest,7,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDL_M_R,Forest,3,0,13,5,3,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDL_M_R,Grassland,0,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDL_M_R,Water,0,3,44,4,1,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDL_M_R,Wetland,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDL_M_R,Permanent_ice_and_snow,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDL_M_R,Wetland,6,26,0,0,4,1,2,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDL_M_R,Water,0,12,2,0,10,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDL_M_R,Forest,1,0,0,0,1,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDL_M_R,Wetland,4,0,0,0,0,0,0,0,26,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDL_M_R,Water,0,0,0,0,0,0,0,0,30,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDL_M_R,Forest,4,0,0,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDL_M_R,Wetland,9,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDL_M_R,Water,0,4,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDL_M_R,Forest,1,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDL_M_R,Wetland,12,2,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDL_M_R,Water,0,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDL_M_R,Forest,3,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDL_M_R,Water,0,0,29,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDL_M_R,Wetland,0,0,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDL_M_R,Forest,3,0,11,0,0,0,0,0,0,3
