Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Built-up,Water,Shrubland,Non_Wetland,Lichens_and_Mosses,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEE_M_R,Non_Wetland,1,4,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEE_M_R,Shrubland,3,7,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEE_M_R,Grassland,0,44,20,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEE_M_R,Wetland,48,0,43,19,4,26,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEE_M_R,Bareland,2,3,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEE_M_R,Built-up,8,17,18,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEE_M_R,Water,31,86,69,31,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEE_M_R,Forest,84,111,68,0,1,20,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEE_M_R,Cropland,3,10,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEE_M_R,Non_Wetland,1,2,1,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEE_M_R,Grassland,0,30,14,19,1,12,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEE_M_R,Bareland,2,19,0,6,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEE_M_R,Shrubland,2,2,2,2,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEE_M_R,Wetland,35,0,21,42,2,88,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEE_M_R,Built-up,7,6,14,10,0,10,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEE_M_R,Water,11,77,14,58,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEE_M_R,Forest,55,114,25,0,3,67,31,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEE_M_R,Cropland,4,6,3,4,0,3,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEE_M_R,Wetland,0,0,0,0,0,5,0,66,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEE_M_R,Shrubland,0,0,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEE_M_R,Grassland,0,15,0,0,0,1,0,68,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEE_M_R,Bareland,0,2,0,0,0,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEE_M_R,Built-up,0,13,0,0,0,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEE_M_R,Forest,0,56,0,0,0,17,0,183,0,0,0
