Dataset,MajorityClass,Forest,Water,Grassland,Bareland,Cropland,Built-up,Wetland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19MHM_M_R,Grassland,42,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHM_M_R,Non_Wetland,3,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHM_M_R,Wetland,275,185,467,10,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHM_M_R,Bareland,17,30,60,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHM_M_R,Water,311,0,448,35,1,0,69,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHM_M_R,Shrubland,1,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHM_M_R,Cropland,2,0,11,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHM_M_R,Built-up,18,0,24,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHM_M_R,Forest,0,126,351,7,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHM_M_R,Grassland,0,9,0,0,0,0,29,202,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHM_M_R,Wetland,0,24,0,0,0,0,0,175,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHM_M_R,Forest,0,94,0,0,0,0,241,624,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHM_M_R,Water,0,0,0,0,0,0,396,238,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHM_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHM_M_R,Cropland,0,0,0,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHM_M_R,Bareland,0,2,0,0,0,0,50,15,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHM_M_R,Built-up,0,0,0,0,0,0,0,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHM_M_R,Grassland,12,50,0,21,0,0,171,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHM_M_R,Non_Wetland,0,0,1,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHM_M_R,Bareland,7,47,13,0,0,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHM_M_R,Forest,0,256,170,124,0,0,499,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHM_M_R,Water,96,0,79,39,0,0,514,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHM_M_R,Shrubland,2,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHM_M_R,Cropland,0,1,0,7,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHM_M_R,Wetland,23,198,59,41,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHM_M_R,Built-up,1,5,3,13,0,0,23,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHM_M_R,Non_Wetland,0,2,1,2,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHM_M_R,Forest,0,165,316,245,0,0,313,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHM_M_R,Grassland,0,14,0,46,0,0,67,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHM_M_R,Water,45,0,200,201,0,0,270,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHM_M_R,Shrubland,0,0,1,2,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHM_M_R,Cropland,0,0,4,7,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHM_M_R,Wetland,10,166,192,127,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHM_M_R,Bareland,0,18,9,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHM_M_R,Built-up,0,7,10,27,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHM_M_R,Grassland,0,92,0,0,0,0,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHM_M_R,Wetland,0,418,0,0,0,0,0,0,159,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHM_M_R,Cropland,0,7,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHM_M_R,Bareland,0,76,0,0,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHM_M_R,Built-up,0,6,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHM_M_R,Water,0,0,0,0,0,0,0,0,209,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHM_M_R,Forest,0,303,0,0,0,0,0,0,109,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHM_M_R,Grassland,65,9,0,22,51,8,29,0,0,21,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHM_M_R,Forest,0,94,107,143,135,57,241,0,0,46,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHM_M_R,Wetland,41,24,30,37,11,3,0,0,0,14,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHM_M_R,Bareland,4,2,3,0,29,10,50,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHM_M_R,Water,121,0,62,116,94,24,396,0,0,6,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHM_M_R,Built-up,4,0,1,1,11,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHM_M_R,Grassland,40,19,0,0,0,29,55,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHM_M_R,Water,171,0,0,81,0,13,186,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHM_M_R,Forest,0,250,0,1,0,61,93,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHM_M_R,Wetland,140,139,0,21,0,38,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHM_M_R,Bareland,15,12,0,0,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHM_M_R,Cropland,3,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHM_M_R,Wetland,432,104,152,40,66,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHM_M_R,Forest,0,9,13,4,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHM_M_R,Water,578,0,99,118,51,0,34,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHM_M_R,Grassland,100,5,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHM_M_R,Bareland,21,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHM_M_R,Built-up,3,0,0,0,0,0,0,0,0,0,0,0
