Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Cropland,Shrubland,Non_Wetland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHE_M_R,Non_Wetland,1,4,1,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHE_M_R,Shrubland,7,6,7,7,4,4,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHE_M_R,Grassland,0,59,65,23,10,29,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHE_M_R,Wetland,78,0,96,28,73,63,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHE_M_R,Lichens_and_Mosses,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHE_M_R,Bareland,35,40,0,11,28,8,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHE_M_R,Built-up,43,42,53,0,13,14,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHE_M_R,Water,41,97,97,24,0,69,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHE_M_R,Forest,154,139,144,52,44,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHE_M_R,Cropland,26,24,41,10,1,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHE_M_R,Permanent_ice_and_snow,14,7,23,0,2,3,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHE_M_R,Non_Wetland,1,5,1,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHE_M_R,Grassland,0,54,33,25,21,42,0,3,0,0,0
