Dataset,MajorityClass,Grassland,Cropland,Forest,Bareland,Built-up,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KDF_M_R,Shrubland,174,37,93,11,27,14,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDF_M_R,Grassland,0,120,156,31,26,7,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDF_M_R,Non_Wetland,8,2,10,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDF_M_R,Bareland,205,45,113,0,65,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDF_M_R,Water,617,88,500,122,15,0,59,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDF_M_R,Forest,976,336,0,101,191,234,36,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDF_M_R,Cropland,880,0,593,195,260,88,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDF_M_R,Wetland,124,10,81,6,7,52,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDF_M_R,Built-up,318,144,250,105,0,42,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDF_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDF_M_R,Non_Wetland,2,0,2,2,0,1,15,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDF_M_R,Shrubland,48,0,21,25,6,16,48,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDF_M_R,Grassland,0,0,94,47,30,38,165,87,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDF_M_R,Cropland,587,0,417,303,225,125,541,307,0,0,0,0
