Dataset,MajorityClass,Wetland,Forest,Bareland,Built-up,Water,Shrubland,Grassland,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPH_M_R,Non_Wetland,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPH_M_R,Grassland,304,208,63,29,77,44,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPH_M_R,Cropland,31,48,4,5,1,5,141,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPH_M_R,Bareland,54,29,0,13,28,1,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPH_M_R,Forest,503,0,42,17,196,41,467,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPH_M_R,Shrubland,27,19,6,2,6,0,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPH_M_R,Wetland,0,197,9,1,208,11,192,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPH_M_R,Built-up,64,6,34,0,1,0,32,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPH_M_R,Water,429,236,25,27,0,0,336,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPH_M_R,Permanent_ice_and_snow,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPH_M_R,Non_Wetland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPH_M_R,Grassland,92,291,27,35,23,0,0,12,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPH_M_R,Cropland,7,99,8,8,0,0,115,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPH_M_R,Bareland,4,29,0,5,3,0,93,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPH_M_R,Shrubland,4,30,4,7,0,0,44,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPH_M_R,Wetland,0,361,2,20,86,0,418,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPH_M_R,Built-up,0,78,16,0,1,0,140,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPH_M_R,Water,230,609,69,6,0,0,458,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPH_M_R,Forest,106,0,17,27,73,0,364,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPH_M_R,Grassland,62,0,0,0,26,0,0,0,614,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPH_M_R,Forest,166,0,0,0,94,0,0,0,808,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPH_M_R,Shrubland,0,0,0,0,0,0,0,0,52,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPH_M_R,Wetland,0,0,0,0,35,0,0,0,473,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPH_M_R,Water,321,0,0,0,0,0,0,0,451,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPH_M_R,Bareland,3,0,0,0,3,0,0,0,70,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPH_M_R,Built-up,14,0,0,0,11,0,0,0,72,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPH_M_R,Cropland,1,0,0,0,1,0,0,0,56,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPH_M_R,Non_Wetland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPH_M_R,Forest,321,0,198,10,237,17,618,55,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPH_M_R,Shrubland,20,5,18,4,11,0,33,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPH_M_R,Wetland,0,43,24,2,255,0,242,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPH_M_R,Bareland,19,0,0,7,19,0,32,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPH_M_R,Grassland,223,50,175,19,109,0,0,79,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPH_M_R,Water,339,86,53,12,0,0,379,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPH_M_R,Cropland,23,7,51,2,9,0,81,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPH_M_R,Built-up,14,6,56,0,5,0,60,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPH_M_R,Permanent_ice_and_snow,0,0,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPH_M_R,Grassland,62,317,0,80,26,516,0,84,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPH_M_R,Forest,166,0,5,31,94,448,250,51,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPH_M_R,Wetland,0,150,0,24,35,203,89,5,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPH_M_R,Bareland,3,28,0,22,3,122,14,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPH_M_R,Water,321,362,0,7,0,385,151,17,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPH_M_R,Built-up,14,29,3,0,11,84,14,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPH_M_R,Cropland,1,69,0,7,1,124,45,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPH_M_R,Permanent_ice_and_snow,0,1,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPH_M_R,Grassland,0,0,0,0,175,0,0,0,0,34,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPH_M_R,Shrubland,0,0,0,0,6,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPH_M_R,Wetland,0,0,0,0,257,0,0,0,0,101,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPH_M_R,Forest,0,0,0,0,196,0,0,0,0,81,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPH_M_R,Built-up,0,0,0,0,20,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPH_M_R,Water,0,0,0,0,0,0,0,0,0,238,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPH_M_R,Bareland,0,0,0,0,18,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPH_M_R,Cropland,0,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPH_M_R,Grassland,21,111,3,118,54,0,0,438,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPH_M_R,Shrubland,0,0,0,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPH_M_R,Wetland,0,129,16,21,100,0,0,153,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPH_M_R,Forest,63,0,3,106,179,0,0,216,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPH_M_R,Bareland,0,6,0,22,1,0,0,35,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPH_M_R,Built-up,1,0,1,0,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPH_M_R,Water,95,147,54,38,0,0,0,91,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPH_M_R,Cropland,0,3,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPH_M_R,Wetland,0,255,88,0,199,0,99,50,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPH_M_R,Forest,75,0,61,0,137,0,111,94,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPH_M_R,Cropland,0,11,29,0,2,0,18,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPH_M_R,Bareland,0,1,0,0,3,0,3,3,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPH_M_R,Water,108,237,118,0,0,0,50,10,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPH_M_R,Built-up,0,23,28,0,1,0,14,10,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPH_M_R,Grassland,74,182,122,0,117,0,0,113,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPH_M_R,Shrubland,1,8,0,0,2,0,0,2,0,0,0
