Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Built-up,Water,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KDC_M_R,Shrubland,67,53,15,9,10,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDC_M_R,Grassland,0,233,181,45,57,69,41,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDC_M_R,Non_Wetland,13,7,2,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDC_M_R,Bareland,133,40,20,8,34,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDC_M_R,Built-up,330,264,132,3,0,38,136,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDC_M_R,Water,1146,775,320,390,109,0,259,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDC_M_R,Forest,1159,0,348,221,154,345,114,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDC_M_R,Cropland,762,505,0,63,230,153,216,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDC_M_R,Wetland,445,342,55,0,8,240,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDC_M_R,Non_Water,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDC_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDC_M_R,Non_Wetland,2,2,0,12,0,3,4,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDC_M_R,Shrubland,30,9,0,26,7,9,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDC_M_R,Grassland,0,122,0,224,69,125,55,44,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDC_M_R,Wetland,51,54,0,0,4,389,49,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDC_M_R,Bareland,28,7,0,11,37,63,0,1,0,0,0,0
