Dataset,MajorityClass,Shrubland,Wetland,Bareland,Forest,Water,Grassland,Non_Wetland,Cropland,Non_Water,Built-up,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZQ_M_R,Grassland,4,62,10,10,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZQ_M_R,Non_Wetland,1,3,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZQ_M_R,Water,0,233,0,35,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZQ_M_R,Shrubland,0,7,3,2,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZQ_M_R,Bareland,0,11,0,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZQ_M_R,Wetland,0,0,0,0,138,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZQ_M_R,Built-up,0,3,0,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZQ_M_R,Forest,16,317,23,0,163,87,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZQ_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZQ_M_R,Grassland,0,0,0,26,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZQ_M_R,Non_Wetland,0,0,0,4,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZQ_M_R,Wetland,0,0,17,106,93,258,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZQ_M_R,Water,0,21,30,195,0,156,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZQ_M_R,Shrubland,0,0,0,8,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZQ_M_R,Bareland,0,0,0,1,14,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZQ_M_R,Built-up,0,0,0,3,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZQ_M_R,Forest,0,0,4,0,54,96,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZQ_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZQ_M_R,Grassland,0,10,0,0,0,0,80,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZQ_M_R,Wetland,0,0,0,0,1,0,60,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZQ_M_R,Forest,0,95,0,0,33,0,357,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZQ_M_R,Water,0,232,0,0,0,0,185,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZQ_M_R,Shrubland,0,0,0,0,0,0,16,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZQ_M_R,Bareland,0,10,0,0,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZQ_M_R,Built-up,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZQ_M_R,Non_Wetland,0,4,1,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZQ_M_R,Forest,0,117,32,0,117,219,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZQ_M_R,Grassland,0,30,6,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZQ_M_R,Water,0,110,21,42,0,51,0,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZQ_M_R,Shrubland,0,9,7,0,1,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZQ_M_R,Wetland,0,0,34,11,118,91,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZQ_M_R,Built-up,0,0,6,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZQ_M_R,Bareland,0,0,0,0,4,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZQ_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZQ_M_R,Grassland,0,0,0,0,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZQ_M_R,Wetland,0,0,0,0,222,0,0,0,66,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZQ_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZQ_M_R,Bareland,0,0,0,0,10,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZQ_M_R,Built-up,0,0,0,0,2,0,0,0,0,0,0
