Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Water,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LHF_M_R,Shrubland,3,1,3,3,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHF_M_R,Grassland,0,12,20,12,11,26,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHF_M_R,Cropland,45,0,5,9,2,24,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHF_M_R,Wetland,134,14,0,29,63,93,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHF_M_R,Lichens_and_Mosses,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHF_M_R,Bareland,34,7,15,0,19,25,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHF_M_R,Built-up,10,3,0,4,1,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHF_M_R,Water,118,6,68,28,0,109,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHF_M_R,Forest,89,25,47,18,37,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHF_M_R,Permanent_ice_and_snow,15,0,3,2,1,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHF_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHF_M_R,Grassland,0,0,12,0,3,0,0,53,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHF_M_R,Cropland,0,0,9,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHF_M_R,Bareland,0,0,6,0,1,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHF_M_R,Forest,0,0,42,0,21,0,0,104,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHF_M_R,Wetland,0,0,0,0,19,0,0,144,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHF_M_R,Water,0,0,64,0,0,0,0,67,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHF_M_R,Shrubland,0,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHF_M_R,Grassland,0,0,0,0,56,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHF_M_R,Cropland,0,0,0,0,19,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHF_M_R,Wetland,0,0,0,0,132,0,0,0,64,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHF_M_R,Bareland,0,0,0,0,31,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHF_M_R,Built-up,0,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHF_M_R,Water,0,0,0,0,0,0,0,0,130,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHF_M_R,Forest,0,0,0,0,111,0,0,0,34,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHF_M_R,Permanent_ice_and_snow,0,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHF_M_R,Water,49,9,64,49,0,46,9,0,0,57,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHF_M_R,Cropland,26,0,9,5,0,11,8,0,0,13,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHF_M_R,Wetland,30,7,0,26,19,26,4,0,0,29,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHF_M_R,Built-up,6,3,0,0,0,2,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHF_M_R,Forest,58,29,42,53,21,0,13,0,0,53,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHF_M_R,Grassland,0,15,12,20,3,26,8,0,0,21,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHF_M_R,Bareland,30,7,6,0,1,18,13,0,0,19,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHF_M_R,Permanent_ice_and_snow,7,4,0,3,0,7,2,0,0,7,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHF_M_R,Grassland,0,37,26,0,19,37,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHF_M_R,Wetland,0,31,0,5,61,55,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHF_M_R,Built-up,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHF_M_R,Water,0,8,79,14,0,51,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHF_M_R,Forest,0,19,53,1,46,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHF_M_R,Cropland,0,0,0,0,0,6,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHF_M_R,Bareland,0,12,4,0,11,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHF_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHF_M_R,Water,39,23,53,46,0,74,0,0,0,0,0,27
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHF_M_R,Cropland,3,0,0,4,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHF_M_R,Wetland,52,29,0,47,38,60,0,0,0,0,0,34
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHF_M_R,Bareland,1,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHF_M_R,Forest,27,14,13,21,12,0,0,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHF_M_R,Built-up,1,2,0,3,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHF_M_R,Grassland,0,8,8,15,5,11,0,0,0,0,0,7
