Dataset,MajorityClass,Grassland,Forest,Cropland,Bareland,Built-up,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KRT_M_R,Shrubland,49,44,18,12,9,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRT_M_R,Grassland,0,307,126,76,85,50,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRT_M_R,Non_Wetland,6,4,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRT_M_R,Bareland,211,140,32,0,46,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRT_M_R,Built-up,345,284,102,165,0,78,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRT_M_R,Water,625,706,52,292,42,0,30,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRT_M_R,Forest,825,0,161,194,141,132,34,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRT_M_R,Cropland,382,290,0,116,96,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRT_M_R,Wetland,78,61,2,4,0,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRT_M_R,Non_Water,1,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRT_M_R,Permanent_ice_and_snow,12,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRT_M_R,Non_Wetland,2,1,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRT_M_R,Shrubland,30,12,0,9,6,11,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRT_M_R,Grassland,0,85,0,74,65,139,74,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRT_M_R,Cropland,378,113,0,118,112,51,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRT_M_R,Wetland,25,0,0,1,0,55,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRT_M_R,Bareland,118,22,0,0,54,84,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRT_M_R,Built-up,182,60,0,164,0,103,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRT_M_R,Water,393,86,0,45,93,0,97,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRT_M_R,Forest,645,0,0,190,157,358,216,42,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRT_M_R,Non_Water,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRT_M_R,Permanent_ice_and_snow,0,0,0,1,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRT_M_R,Grassland,0,117,40,123,81,51,58,27,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRT_M_R,Non_Wetland,1,1,0,2,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRT_M_R,Bareland,102,27,3,0,38,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRT_M_R,Built-up,192,66,2,186,0,49,32,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRT_M_R,Water,211,90,0,170,75,0,75,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRT_M_R,Forest,516,0,52,343,151,276,204,60,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRT_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
