Dataset,MajorityClass,Grassland,Built-up,Forest,Water,Wetland,Bareland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_18MZC_M_R,Shrubland,3,1,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZC_M_R,Grassland,0,0,9,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZC_M_R,Cropland,1,0,2,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZC_M_R,Wetland,39,0,14,43,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZC_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZC_M_R,Bareland,4,0,1,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZC_M_R,Water,64,0,49,0,2,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZC_M_R,Forest,67,4,0,34,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZC_M_R,Built-up,5,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZC_M_R,Shrubland,0,0,0,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZC_M_R,Grassland,0,0,0,5,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZC_M_R,Wetland,0,0,0,32,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZC_M_R,Bareland,0,0,0,10,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZC_M_R,Water,0,0,0,0,0,0,84,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZC_M_R,Forest,0,0,0,47,0,0,34,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZC_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZC_M_R,Cropland,0,0,0,1,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZC_M_R,Water,17,14,21,0,35,19,0,27,10,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZC_M_R,Wetland,1,0,2,0,0,2,0,6,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZC_M_R,Built-up,2,0,2,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZC_M_R,Forest,21,12,0,9,27,29,0,38,12,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZC_M_R,Grassland,0,0,6,3,6,6,0,11,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZC_M_R,Cropland,0,0,1,0,1,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZC_M_R,Bareland,2,2,1,0,6,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZC_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,2
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZC_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,13
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZC_M_R,Grassland,0,0,0,3,6,0,0,0,0,0,7
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZC_M_R,Water,0,0,0,0,35,0,0,0,0,0,6
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZC_M_R,Forest,0,0,0,9,27,0,0,0,0,0,26
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZC_M_R,Bareland,0,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZC_M_R,Grassland,0,3,15,9,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZC_M_R,Water,0,5,31,0,28,11,0,0,5,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZC_M_R,Wetland,0,0,16,15,0,4,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZC_M_R,Forest,0,7,0,39,26,1,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZC_M_R,Cropland,0,0,1,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZC_M_R,Bareland,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZC_M_R,Wetland,9,0,21,9,0,6,0,0,5,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZC_M_R,Water,11,0,60,0,13,29,0,0,10,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZC_M_R,Forest,7,0,0,13,1,0,0,0,4,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZC_M_R,Grassland,0,0,7,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZC_M_R,Built-up,0,0,1,1,0,0,0,0,0,0,0
