Dataset,MajorityClass,Grassland,Cropland,Forest,Built-up,Water,Bareland,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KZR_M_R,Shrubland,90,23,68,6,2,2,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZR_M_R,Grassland,0,227,398,62,124,45,86,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZR_M_R,Non_Wetland,13,3,10,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZR_M_R,Bareland,125,13,25,13,27,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZR_M_R,Forest,995,230,0,143,210,127,154,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZR_M_R,Cropland,847,0,517,175,137,245,89,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZR_M_R,Wetland,737,50,508,29,460,47,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZR_M_R,Water,692,34,568,17,0,161,341,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZR_M_R,Non_Water,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZR_M_R,Built-up,219,79,157,0,14,81,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZR_M_R,Lichens_and_Mosses,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZR_M_R,Non_Wetland,4,0,3,0,5,1,16,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZR_M_R,Shrubland,37,0,16,1,5,6,37,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZR_M_R,Grassland,0,0,135,40,76,66,519,106,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZR_M_R,Cropland,565,0,274,123,134,245,479,166,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZR_M_R,Wetland,167,0,36,0,377,21,0,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZR_M_R,Bareland,10,0,26,4,79,0,37,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZR_M_R,Forest,541,0,0,74,433,173,1118,303,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZR_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZR_M_R,Water,220,0,121,33,0,56,864,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZR_M_R,Built-up,88,0,32,0,22,104,53,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZR_M_R,Lichens_and_Mosses,0,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZR_M_R,Wetland,0,0,0,0,108,0,0,0,1554,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZR_M_R,Grassland,0,0,0,0,45,0,75,0,1076,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZR_M_R,Forest,0,0,0,0,87,0,210,0,2029,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZR_M_R,Water,0,0,0,0,0,0,316,0,1003,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZR_M_R,Shrubland,0,0,0,0,0,0,0,0,82,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZR_M_R,Bareland,0,0,0,0,14,0,25,0,65,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZR_M_R,Cropland,0,0,0,0,22,0,7,0,832,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZR_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZR_M_R,Built-up,0,0,0,0,2,0,0,0,84,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZR_M_R,Grassland,0,105,135,28,96,100,475,116,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZR_M_R,Non_Wetland,4,1,2,1,0,2,20,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZR_M_R,Forest,473,122,0,39,180,373,1062,305,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZR_M_R,Wetland,45,16,154,0,162,22,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZR_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZR_M_R,Water,41,35,184,11,0,278,969,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZR_M_R,Shrubland,29,6,5,1,2,10,41,0,0,0,0,0
