Dataset,MajorityClass,Wetland,Forest,Shrubland,Grassland,Cropland,Lichens_and_Mosses,Bareland,Built-up,Water,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZD_M_R,Water,26,14,9,11,9,4,12,7,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZD_M_R,Grassland,0,1,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZD_M_R,Forest,16,0,15,11,9,4,13,9,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZD_M_R,Bareland,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZD_M_R,Water,26,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZD_M_R,Bareland,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZD_M_R,Forest,16,0,0,0,0,0,0,0,5,1,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZD_M_R,Forest,0,0,0,24,0,0,0,0,25,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZD_M_R,Grassland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZD_M_R,Bareland,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZD_M_R,Water,0,35,0,21,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZD_M_R,Wetland,0,1,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZD_M_R,Forest,0,0,0,2,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZD_M_R,Water,0,39,0,1,1,0,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZD_M_R,Wetland,0,4,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZD_M_R,Grassland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZD_M_R,Grassland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZD_M_R,Water,1,21,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZD_M_R,Wetland,0,1,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZD_M_R,Forest,1,0,0,0,0,0,0,0,30,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZD_M_R,Bareland,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZD_M_R,Water,0,0,0,0,0,0,0,0,0,0,41
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZD_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,2
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZD_M_R,Forest,0,0,0,0,0,0,0,0,29,0,23
