Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LHG_M_R,Shrubland,3,1,3,2,1,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHG_M_R,Grassland,0,9,21,8,4,4,23,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHG_M_R,Cropland,29,0,6,7,3,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHG_M_R,Wetland,81,5,0,8,2,28,53,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHG_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHG_M_R,Bareland,24,2,17,0,3,6,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHG_M_R,Built-up,7,0,0,3,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHG_M_R,Water,57,0,43,8,0,0,69,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHG_M_R,Forest,85,3,48,14,9,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHG_M_R,Permanent_ice_and_snow,14,0,9,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHG_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHG_M_R,Grassland,0,0,12,0,0,3,0,44,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHG_M_R,Cropland,0,0,1,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHG_M_R,Bareland,0,0,2,0,0,0,0,18,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHG_M_R,Forest,0,0,31,0,0,12,0,103,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHG_M_R,Wetland,0,0,0,0,0,8,0,85,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHG_M_R,Water,0,0,40,0,0,0,0,29,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHG_M_R,Grassland,0,12,12,10,7,3,25,0,19,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHG_M_R,Water,37,0,40,16,0,0,28,0,29,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHG_M_R,Cropland,19,0,1,5,4,0,13,0,7,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHG_M_R,Wetland,20,1,0,12,0,8,25,0,17,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHG_M_R,Built-up,3,3,0,0,0,0,2,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHG_M_R,Forest,48,22,31,42,9,12,0,0,43,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHG_M_R,Bareland,22,4,2,0,4,0,14,0,16,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHG_M_R,Permanent_ice_and_snow,9,1,0,5,0,0,9,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHG_M_R,Shrubland,0,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHG_M_R,Grassland,0,0,0,0,0,38,0,0,0,0,9,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHG_M_R,Cropland,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHG_M_R,Wetland,0,0,0,0,0,77,0,0,0,0,35,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHG_M_R,Bareland,0,0,0,0,0,20,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHG_M_R,Water,0,0,0,0,0,0,0,0,0,0,75,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHG_M_R,Forest,0,0,0,0,0,77,0,0,0,0,23,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHG_M_R,Permanent_ice_and_snow,0,0,0,0,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHG_M_R,Grassland,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHG_M_R,Forest,8,0,15,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHG_M_R,Grassland,0,30,17,1,3,15,21,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHG_M_R,Wetland,0,11,0,0,0,38,25,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHG_M_R,Forest,0,15,44,0,9,33,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHG_M_R,Water,0,0,33,2,0,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHG_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHG_M_R,Bareland,0,7,1,0,0,3,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHG_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHG_M_R,Cropland,3,0,0,2,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHG_M_R,Wetland,42,9,0,22,0,27,54,0,0,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHG_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHG_M_R,Built-up,1,1,0,2,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHG_M_R,Water,18,2,28,15,0,0,52,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHG_M_R,Forest,14,7,4,12,0,11,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHG_M_R,Grassland,0,4,6,9,0,3,15,0,0,0,0,5
