Dataset,MajorityClass,Grassland,Cropland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Permanent_ice_and_snow,Forest,Non_Wetland,Non_Water,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_17MQU_M_R,Shrubland,3,3,3,1,1,1,2,1,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQU_M_R,Grassland,0,26,8,1,13,16,5,1,28,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQU_M_R,Cropland,50,0,6,0,29,25,7,1,34,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQU_M_R,Wetland,22,9,0,0,16,0,15,0,18,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQU_M_R,Bareland,78,53,1,0,0,21,32,17,51,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQU_M_R,Built-up,15,16,2,0,15,0,6,0,14,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQU_M_R,Water,149,101,23,2,103,11,0,19,113,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQU_M_R,Permanent_ice_and_snow,23,12,0,1,17,3,3,0,16,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQU_M_R,Forest,70,44,15,0,36,22,16,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQU_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQU_M_R,Grassland,0,0,0,0,0,0,5,0,0,19,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQU_M_R,Forest,0,0,11,0,0,0,16,0,0,29,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQU_M_R,Cropland,0,0,4,0,0,0,9,0,0,11,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQU_M_R,Wetland,0,0,0,0,0,0,1,0,0,26,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQU_M_R,Bareland,0,0,25,0,0,0,19,0,0,6,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQU_M_R,Built-up,0,0,0,0,0,0,1,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQU_M_R,Water,0,0,56,0,0,0,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQU_M_R,Shrubland,0,0,0,0,0,0,4,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQU_M_R,Wetland,0,0,0,0,0,0,15,0,0,0,12,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQU_M_R,Water,0,0,0,0,0,0,0,0,0,0,131,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQU_M_R,Forest,0,0,0,0,0,0,41,0,0,0,24,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQU_M_R,Cropland,0,0,0,0,0,0,13,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQU_M_R,Grassland,0,0,0,0,0,0,13,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQU_M_R,Bareland,0,0,0,0,0,0,61,0,0,0,28,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQU_M_R,Built-up,0,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQU_M_R,Water,50,45,56,0,54,12,0,25,70,0,0,136
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQU_M_R,Cropland,29,0,4,0,25,23,9,2,37,0,0,73
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQU_M_R,Wetland,0,2,0,0,1,0,1,0,2,0,0,21
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQU_M_R,Bareland,44,31,25,0,0,25,20,13,44,0,0,98
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQU_M_R,Built-up,10,12,0,0,13,0,1,0,13,0,0,23
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQU_M_R,Forest,28,34,11,0,32,20,16,16,0,0,0,100
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQU_M_R,Grassland,0,21,0,0,19,10,5,5,29,0,0,59
