Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Water,Bareland,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KYT_M_R,Shrubland,121,29,94,15,13,1,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYT_M_R,Grassland,0,172,326,101,81,38,51,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYT_M_R,Non_Wetland,7,1,6,6,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYT_M_R,Bareland,109,41,68,4,51,0,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYT_M_R,Water,458,89,469,261,0,80,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYT_M_R,Forest,858,323,0,249,417,90,192,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYT_M_R,Cropland,766,0,671,106,302,175,175,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYT_M_R,Wetland,65,2,69,0,67,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYT_M_R,Built-up,262,144,295,3,73,88,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYT_M_R,Non_Water,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYT_M_R,Non_Wetland,4,0,3,9,4,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYT_M_R,Shrubland,60,0,28,30,17,15,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYT_M_R,Grassland,0,0,145,208,100,62,90,146,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYT_M_R,Cropland,800,0,378,348,260,266,303,296,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYT_M_R,Wetland,67,0,10,0,125,11,1,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYT_M_R,Bareland,107,0,15,9,99,0,16,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYT_M_R,Built-up,181,0,76,72,36,122,0,96,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYT_M_R,Water,339,0,116,295,0,112,86,47,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYT_M_R,Forest,793,0,0,870,482,290,309,596,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYT_M_R,Non_Water,0,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYT_M_R,Grassland,0,79,124,168,61,214,23,138,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYT_M_R,Non_Wetland,7,0,1,13,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYT_M_R,Forest,1018,167,0,861,354,897,128,555,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYT_M_R,Wetland,128,0,4,0,93,40,1,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYT_M_R,Non_Water,2,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYT_M_R,Water,412,2,154,412,0,736,43,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYT_M_R,Shrubland,56,7,29,24,3,51,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYT_M_R,Cropland,838,0,264,265,120,824,169,244,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYT_M_R,Bareland,51,0,3,5,2,0,1,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYT_M_R,Built-up,281,9,84,60,11,425,0,77,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYT_M_R,Grassland,0,0,0,26,29,0,0,0,463,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYT_M_R,Wetland,0,0,0,0,3,0,0,0,292,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYT_M_R,Water,0,0,0,231,0,0,0,0,630,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYT_M_R,Shrubland,0,0,0,0,0,0,0,0,69,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYT_M_R,Forest,0,0,0,108,109,0,0,0,1733,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYT_M_R,Cropland,0,0,0,20,35,0,0,0,677,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYT_M_R,Bareland,0,0,0,5,13,0,0,0,19,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYT_M_R,Built-up,0,0,0,1,11,0,0,0,129,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYT_M_R,Bareland,0,0,0,0,70,0,0,0,0,29,0,0
