Dataset,MajorityClass,Non_Wetland,Wetland,Water,Bareland,Forest,Grassland,Built-up,Shrubland,Cropland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCQ_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCQ_M_R,Water,135,163,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCQ_M_R,Forest,409,111,60,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCQ_M_R,Grassland,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCQ_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCQ_M_R,Wetland,2,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCQ_M_R,Bareland,1,7,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCQ_M_R,Shrubland,0,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCQ_M_R,Grassland,0,0,1,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCQ_M_R,Wetland,0,0,20,26,7,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCQ_M_R,Built-up,0,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCQ_M_R,Water,0,71,0,162,45,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCQ_M_R,Forest,0,153,175,200,0,51,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCQ_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCQ_M_R,Shrubland,0,2,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCQ_M_R,Grassland,0,0,2,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCQ_M_R,Built-up,0,0,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCQ_M_R,Water,0,240,0,1,68,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCQ_M_R,Forest,0,385,271,9,0,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCQ_M_R,Wetland,0,0,17,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCQ_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCQ_M_R,Bareland,0,1,14,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCQ_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCQ_M_R,Bareland,0,0,7,0,1,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCQ_M_R,Wetland,0,0,32,0,39,32,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCQ_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCQ_M_R,Water,0,6,0,3,178,118,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCQ_M_R,Forest,0,1,167,2,0,168,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCQ_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCQ_M_R,Bareland,0,7,1,0,1,2,2,7,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCQ_M_R,Water,0,163,0,88,80,48,36,52,23,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCQ_M_R,Grassland,0,2,0,0,3,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCQ_M_R,Forest,0,111,60,115,0,73,54,100,43,17,0,0
