Dataset,MajorityClass,Forest,Cropland,Wetland,Bareland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NQH_M_R,Grassland,460,45,220,58,82,60,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQH_M_R,Non_Wetland,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQH_M_R,Cropland,169,0,38,31,38,2,336,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQH_M_R,Bareland,114,8,18,0,44,25,276,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQH_M_R,Shrubland,53,3,7,16,18,3,89,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQH_M_R,Wetland,623,1,0,7,46,151,930,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQH_M_R,Built-up,112,13,1,30,0,1,207,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQH_M_R,Water,895,0,643,128,9,0,1003,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQH_M_R,Forest,0,8,198,41,62,89,709,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQH_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQH_M_R,Non_Wetland,0,0,0,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQH_M_R,Forest,0,146,529,470,30,327,860,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQH_M_R,Grassland,81,208,393,409,44,204,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQH_M_R,Shrubland,7,18,38,50,10,14,59,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQH_M_R,Wetland,60,28,0,152,2,652,615,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQH_M_R,Bareland,0,65,37,0,16,69,71,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQH_M_R,Built-up,6,12,22,145,0,7,104,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQH_M_R,Water,122,27,623,249,15,0,613,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQH_M_R,Cropland,14,0,70,140,23,33,159,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQH_M_R,Permanent_ice_and_snow,0,2,0,7,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQH_M_R,Non_Wetland,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQH_M_R,Grassland,384,0,529,102,42,179,0,80,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQH_M_R,Cropland,132,0,150,25,19,22,285,39,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQH_M_R,Bareland,81,0,210,0,23,100,196,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQH_M_R,Forest,0,0,751,94,32,302,675,86,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQH_M_R,Shrubland,27,0,42,10,8,16,33,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQH_M_R,Wetland,438,0,0,6,1,457,623,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQH_M_R,Built-up,37,0,85,56,0,10,87,17,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQH_M_R,Water,496,0,780,33,30,0,643,12,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQH_M_R,Permanent_ice_and_snow,2,0,4,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQH_M_R,Grassland,505,123,138,10,169,75,0,958,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQH_M_R,Forest,0,68,252,1,94,126,384,774,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQH_M_R,Wetland,337,10,0,0,32,87,219,610,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQH_M_R,Bareland,84,10,36,0,66,19,98,407,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQH_M_R,Cropland,158,0,6,5,52,7,129,360,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQH_M_R,Built-up,55,4,14,6,0,13,36,157,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQH_M_R,Water,572,35,499,0,18,0,297,814,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQH_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQH_M_R,Shrubland,0,0,0,0,0,0,0,0,91,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQH_M_R,Grassland,0,0,138,0,0,75,0,0,1232,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQH_M_R,Wetland,0,0,0,0,0,87,0,0,1216,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQH_M_R,Cropland,0,0,6,0,0,7,0,0,246,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQH_M_R,Forest,0,0,252,0,0,126,0,0,1372,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQH_M_R,Bareland,0,0,36,0,0,19,0,0,245,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQH_M_R,Water,0,0,499,0,0,0,0,0,963,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQH_M_R,Built-up,0,0,14,0,0,13,0,0,102,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQH_M_R,Grassland,0,0,0,0,0,440,0,0,0,111,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQH_M_R,Shrubland,0,0,0,0,0,19,0,0,0,9,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQH_M_R,Wetland,0,0,0,0,0,784,0,0,0,254,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQH_M_R,Forest,0,0,0,0,0,388,0,0,0,153,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQH_M_R,Bareland,0,0,0,0,0,111,0,0,0,25,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQH_M_R,Built-up,0,0,0,0,0,22,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQH_M_R,Water,0,0,0,0,0,0,0,0,0,399,0
