Dataset,MajorityClass,Grassland,Forest,Wetland,Bareland,Built-up,Water,Cropland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23MLP_M_R,Shrubland,204,164,33,56,55,38,30,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLP_M_R,Grassland,0,405,71,77,79,45,160,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLP_M_R,Non_Wetland,6,8,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLP_M_R,Bareland,303,199,10,0,51,16,56,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLP_M_R,Built-up,253,197,0,55,0,1,50,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLP_M_R,Forest,750,0,204,66,108,143,102,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLP_M_R,Cropland,546,387,37,118,103,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLP_M_R,Wetland,199,218,0,14,0,62,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLP_M_R,Water,449,483,160,68,13,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLP_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLP_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLP_M_R,Non_Wetland,3,4,7,0,0,3,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLP_M_R,Shrubland,76,52,27,36,19,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLP_M_R,Grassland,0,322,25,116,55,34,0,244,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLP_M_R,Cropland,439,327,12,223,54,60,0,332,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLP_M_R,Wetland,137,163,0,11,2,126,0,53,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLP_M_R,Bareland,96,96,0,0,111,34,0,47,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLP_M_R,Built-up,141,84,3,97,0,3,0,131,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLP_M_R,Water,313,277,70,23,21,0,0,105,0,0,0,0
