Dataset,MajorityClass,Grassland,Wetland,Forest,Water,Cropland,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_18MWA_M_R,Shrubland,3,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWA_M_R,Grassland,0,1,18,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWA_M_R,Cropland,35,0,19,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWA_M_R,Wetland,94,0,61,61,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWA_M_R,Bareland,6,1,5,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWA_M_R,Built-up,19,0,14,10,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWA_M_R,Water,131,30,93,0,1,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWA_M_R,Forest,97,20,0,36,0,1,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWA_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWA_M_R,Bareland,0,6,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWA_M_R,Forest,0,31,0,14,0,0,0,80,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWA_M_R,Wetland,0,0,0,9,0,0,0,74,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWA_M_R,Water,0,52,0,0,0,0,0,33,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWA_M_R,Grassland,0,8,0,6,0,0,0,21,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWA_M_R,Built-up,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWA_M_R,Cropland,0,3,0,2,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWA_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWA_M_R,Cropland,0,0,0,7,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWA_M_R,Wetland,0,0,0,83,0,0,0,0,45,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWA_M_R,Water,0,0,0,0,0,0,0,0,123,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWA_M_R,Forest,0,0,0,72,0,0,0,0,41,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWA_M_R,Grassland,0,0,0,24,0,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWA_M_R,Bareland,0,0,0,4,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWA_M_R,Built-up,0,0,0,10,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWA_M_R,Cropland,4,3,8,2,0,5,2,0,0,22,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWA_M_R,Wetland,8,0,20,9,4,11,1,0,0,23,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWA_M_R,Water,18,52,35,0,14,33,19,0,0,46,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWA_M_R,Bareland,0,6,1,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWA_M_R,Built-up,5,1,5,1,2,8,0,0,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWA_M_R,Forest,30,31,0,14,26,42,21,0,0,60,7
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWA_M_R,Grassland,0,8,12,6,5,9,4,0,0,24,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWA_M_R,Grassland,0,18,22,12,7,0,17,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWA_M_R,Wetland,0,0,32,26,6,8,22,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWA_M_R,Water,0,59,38,0,7,21,45,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWA_M_R,Forest,0,55,0,42,10,2,31,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWA_M_R,Bareland,0,0,0,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWA_M_R,Cropland,0,7,3,2,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWA_M_R,Water,24,23,70,0,26,14,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWA_M_R,Wetland,23,0,47,28,26,10,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWA_M_R,Forest,19,12,0,15,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWA_M_R,Built-up,1,0,2,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWA_M_R,Grassland,0,3,12,4,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWA_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
