Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Grassland,Water,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MNV_M_R,Grassland,26,1,2,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNV_M_R,Non_Wetland,6,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNV_M_R,Wetland,306,0,1,0,563,122,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNV_M_R,Water,374,8,3,204,541,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNV_M_R,Shrubland,6,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNV_M_R,Cropland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNV_M_R,Bareland,8,0,0,0,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNV_M_R,Built-up,35,1,0,0,20,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNV_M_R,Forest,0,9,22,24,262,71,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNV_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNV_M_R,Non_Wetland,0,0,0,4,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNV_M_R,Grassland,10,15,0,142,0,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNV_M_R,Water,33,8,0,524,33,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNV_M_R,Forest,0,45,0,503,115,315,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNV_M_R,Shrubland,0,1,0,5,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNV_M_R,Cropland,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNV_M_R,Wetland,16,8,0,0,57,334,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNV_M_R,Bareland,5,0,0,7,4,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNV_M_R,Built-up,4,18,0,24,4,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNV_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNV_M_R,Grassland,0,0,0,11,0,4,165,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNV_M_R,Wetland,0,0,0,0,0,62,553,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNV_M_R,Forest,0,0,0,133,0,44,749,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNV_M_R,Water,0,0,0,246,0,0,579,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNV_M_R,Shrubland,0,0,0,0,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNV_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,0,0
