Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NNP_M_R,Shrubland,3,3,3,2,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNP_M_R,Grassland,0,25,16,9,8,34,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNP_M_R,Cropland,29,5,6,4,0,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNP_M_R,Wetland,95,0,26,6,28,80,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNP_M_R,Bareland,62,28,0,10,19,51,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNP_M_R,Built-up,14,3,13,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNP_M_R,Water,135,103,63,25,0,137,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNP_M_R,Forest,70,44,15,14,13,0,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNP_M_R,Permanent_ice_and_snow,9,6,2,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNP_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNP_M_R,Grassland,0,11,0,0,5,0,0,63,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNP_M_R,Built-up,0,1,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNP_M_R,Forest,0,26,0,0,12,0,0,88,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNP_M_R,Wetland,0,0,0,0,14,0,0,136,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNP_M_R,Water,0,46,0,0,0,0,0,88,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNP_M_R,Bareland,0,23,0,0,13,0,0,43,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNP_M_R,Cropland,0,0,0,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNP_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,6,0,0,0
